"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT03574454","Machine Learning in Myeloma Response","MALIMAR","Recruiting","No Results Available","Myeloma","Other: Machine Learning (ML)","Sensitivity of Machine Learning Algorithm to detect Myeloma|Level of Agreement in Assessment of Disease Burden|Level of Agreement to Classify Disease Spread|Quantification of Improvements to Correctly Identify Disease by Site and Reading Time|Difference in Reading Time with and without Machine Learning|Specificity for Identification of Active Disease with and without Machine Learning|Sensitivity to detect Active Disease in non-Experienced Readers with and without Machine Learning|Agreement in Categorisation of Active Disease|Difference in Reading Time for scoring Disease Burden with and without Machine Learning|Agreement in Categorisation of Disease Responders and non-Responders with Reference Standard|Agreement in Categorisation of Disease Responders and non-Responders in non-Experienced Readers|Agreement in Assessment of Disease Burden in non-Experienced Readers|Difference in Costs of Radiology Reading Time with and without Machine Learning","Royal Marsden NHS Foundation Trust|Institute of Cancer Research, United Kingdom|Imperial College London","All","40 Years to 100 Years   (Adult, Older Adult)","Not Applicable","50","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Diagnostic","CCR 4820|233501|16/68/34","July 4, 2018","May 2021","August 2021","July 2, 2018",,"July 17, 2018","Department of Radiology, The Royal Marsden NHS Foundation Trust, Sutton, Surrey, United Kingdom|Institute of Cancer Research, London, London, United Kingdom|Imperial College, London, London, United Kingdom",,"https://ClinicalTrials.gov/show/NCT03574454"
2,"NCT02943824","Machine-learning Optimization for Prostate Brachytherapy Planning","MOPP","Completed","No Results Available","Prostatic Neoplasms","Other: Machine Learning Planning|Other: Radiation Therapist Planning","post-operative prostate V100%|Pre-operative planning time|Pre-operative dosimetry|Frequency & magnitude of plan modifications","Sunnybrook Health Sciences Centre","Male","Child, Adult, Older Adult","Not Applicable","42","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Other","1.1.1","August 24, 2017","August 24, 2018","September 4, 2018","October 25, 2016",,"September 6, 2018","Sunnybrook Odette Cancer Centre, Toronto, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT02943824"
3,"NCT03706664","Small Bowel Deep Learning Algorithm Project",,"Active, not recruiting","No Results Available","Crohn Disease","Other: Machine learning algorithm","Machine learning algorithm's ability to accurately localize the terminal ileum.|Data processing time until a diagnosis reported by algorithm.|Machine learning algorithm's ability to accurately distinguish abnormal and normal terminal ileum.","London North West Healthcare NHS Trust|Imperial College London","All","16 Years and older   (Child, Adult, Older Adult)","Not Applicable","226","Other","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","IRAS No:238924","March 1, 2019","November 2020","January 2021","October 16, 2018",,"February 27, 2020","St Mark's Hospital, London, Harrow, United Kingdom",,"https://ClinicalTrials.gov/show/NCT03706664"
4,"NCT02330679","Prediction of Antidepressant Treatment Response Using Machine Learning Classification Analysis",,"Unknown status","No Results Available","Major Depressive Disorder","Drug: Desvenlafaxine|Drug: Placebo","The resting state and emotional task related brain activity pattern at the pretreatment baseline and two weeks post treatment as measured by functional MRI and analyzed by machine learning techniques|The clinical response to antidepressant treatment as measured by Montgomery-Asberg Depression Rating (MADRS) scale.","University of Calgary|University of Alberta","All","20 Years to 55 Years   (Adult)","Phase 4","61","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","REB 14-0194","December 2014","December 2016","December 2016","January 5, 2015",,"January 5, 2015","University of Calgary, TRW Building, Foothills Hospital Campus, Calgary, Alberta, Canada|University of Calgary: Foothills Hospital, Calgary, Alberta, Canada",,"https://ClinicalTrials.gov/show/NCT02330679"
5,"NCT02931500","Machine Learning for Identification of Future Disease Development: A Nationwide Cohort Study (MILESTONE)",,"Unknown status","No Results Available","Cardiovascular Disease|Metabolic Disease",,"Accuracy in prediction of development of cardiovascular and metabolic disease using machine learning algorithm|Accuracy in prediction of development of cardiovascular and metabolic disease using logistic regression analysis|Accuracy in prediction of development of cardiovascular and metabolic disease using Framingham risk score","Yonsei University","All","18 Years and older   (Adult, Older Adult)",,"510000","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","4-2016-0383","July 1, 2016","October 30, 2018","December 31, 2018","October 13, 2016",,"January 10, 2018","Yonsei University Severance Hospital, Seoul, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT02931500"
6,"NCT00330109","Identification of Clinically Occult Glioma Cells and Characterization of Glioma Behavior Through Machine Learning Analysis of Advanced Imaging Technology",,"Unknown status","No Results Available","Glioma","Procedure: MRS Imaging|Procedure: PET Scanning|Procedure: Diffusion Tensor Imaging","image glioma patients with advanced imaging techniques to help us better characterize gliomas in the future|create an image-based database to allow machine learning analysis of all the clinically available data|through machine learning analysis, develop computer algorithms to allow us to automate tumour segmentation, predict tumour behaviour and predict location of clinically occult glioma cells","AHS Cancer Control Alberta","All","18 Years and older   (Adult, Older Adult)","Not Applicable","113","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","CNS-9-0032 / 22151-22523","June 2006","December 2017","December 2017","May 25, 2006",,"January 16, 2017","Cross Cancer Institute, Edmonton, Alberta, Canada",,"https://ClinicalTrials.gov/show/NCT00330109"
7,"NCT04448340","A Novel Machine Learning Algorithm to Predict the Lewy Body Dementias","MLDLB","Recruiting","No Results Available","Dementia","Diagnostic Test: machine learning model","MMSE predictive for dlb or PDD|Parkinson's Disease - Cognitive Rating Scale (PD-CRS) predictive for DLB or PDD|Brief Visuospatial Memory Test (BVMT-TR) predictive for DLB or PDD|Symbol digit written predictive for DLB or PDD|Wechsler adult intelligence scale,predictive for DLB or PDD|trail making A and B predictive for DLB or PDD","National and Kapodistrian University of Athens","All","50 Years to 90 Years   (Adult, Older Adult)",,"86","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","251ATHENS HOSPITAL","September 1, 2019","August 1, 2020","March 1, 2021","June 25, 2020",,"June 26, 2020","Anastasia Bougea, Athens, Attiki, Greece",,"https://ClinicalTrials.gov/show/NCT04448340"
8,"NCT02932176","Machine Learning for Handheld Vascular Studies","DopplerZAM","Recruiting","No Results Available","Atherosclerosis|Wounds and Injuries","Device: Non-invasive vascular testing|Device: machine-learning algorithm","Algorithm generated Doppler classification|Presence or absence of pulse|Quality of pulse|Presence or absence of Doppler signal|Quality of Doppler signal","Duke University","All","Child, Adult, Older Adult",,"100","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","Pro00070090","September 7, 2016","December 14, 2020","December 14, 2020","October 13, 2016",,"March 18, 2020","Duke University Medical Center, Durham, North Carolina, United States",,"https://ClinicalTrials.gov/show/NCT02932176"
9,"NCT04277650","System for High-Intensity Evaluation During Radiotherapy","SHIELD-RT","Completed","No Results Available","Radiation Therapy Complication|Chemotherapeutic Toxicity","Other: Machine learning algorithm","Number of unplanned emergency department visits or hospital admissions|Number of unplanned emergency department visits or hospital admissions up to 15 days post radiation treatment|Number of missed clinical evaluation visits|Number of acute care visits with listed reason as anemia, nutrition (including dehydration), diarrhea, emesis, infectious (including fever, pneumonia, and sepsis), nausea, neutropenia, pain category","Duke University","All","18 Years and older   (Adult, Older Adult)","Not Applicable","311","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","Pro00100647","September 7, 2018","June 30, 2019","June 30, 2019","February 20, 2020",,"February 20, 2020","Duke Cancer Center, Durham, North Carolina, United States",,"https://ClinicalTrials.gov/show/NCT04277650"
10,"NCT03974828","Telemedicine Notifications With Machine Learning for Postoperative Care","ODIN-Report","Not yet recruiting","No Results Available","Surgery--Complications|Perioperative/Postoperative Complications|Acute Kidney Injury|Hospital Mortality","Device: Anesthesia Control Tower Notification","Unplanned ICU admission|Acute Kidney Injury|Hospital length of stay","Washington University School of Medicine","All","18 Years and older   (Adult, Older Adult)","Not Applicable","3375","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Other","201905127","September 1, 2020","January 1, 2024","January 1, 2024","June 5, 2019",,"May 7, 2020",,,"https://ClinicalTrials.gov/show/NCT03974828"
11,"NCT03949218","Bipolar Disorder and Oxidative Stress Injury Mechanism - Clinical Big Data Analysis Based on Machine Learning",,"Completed","No Results Available","Bipolar Disorder",,"Early prediction model of bipolar disorder with oxidative stress index as the core","Shanghai Mental Health Center","All","Child, Adult, Older Adult",,"3702","Other","Observational","Observational Model: Other|Time Perspective: Retrospective","CRC2018DSJ01-1","November 20, 2018","November 20, 2018","November 20, 2018","May 14, 2019",,"May 14, 2019","Shanghai Mental Health Center, Shanghai, Shanghai, China",,"https://ClinicalTrials.gov/show/NCT03949218"
12,"NCT03847688","Machine Learning to Predict Clinical Response to TMS","LEARN","Enrolling by invitation","No Results Available","Depression, Unipolar","Device: Transcranial Magnetic Stimulation","Changes in functional connectivity maps (i.e., EEG coherence) in patients before and after clinical TMS|Prediction of clinical outcomes based on pre-treatment EEG functional connectivity","Brown University|Providence VA Medical Center","All","18 Years to 65 Years   (Adult, Older Adult)",,"35","Other|U.S. Fed","Observational","Observational Model: Cohort|Time Perspective: Prospective","1805002078","October 22, 2018","September 18, 2020","September 18, 2020","February 20, 2019",,"February 25, 2019","Providence VA Medical Center, Providence, Rhode Island, United States",,"https://ClinicalTrials.gov/show/NCT03847688"
