"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT01535833","Robotic Assisted Sacral Colpopexy : A Prospective Study Assessing Outcomes With Learning Curves",,"Unknown status","No Results Available","Pelvic Organ Prolapse","Procedure: Device- Robotic sacral colpopexy","Learning curve of robotic sacral colpopexy|Subjective outcomes for robotic sacral colpopexy|Adverse events for robotic sacral colpopexy|Objective outcomes measures associated with robotic sacral colpopexy","Kaiser Permanente","Female","18 Years to 80 Years   (Adult, Older Adult)","Not Applicable","100","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","KP IRB 20111224","February 2012","July 2016","December 2016","February 20, 2012",,"May 12, 2016","Kaiser Permanente Downey, Los Angeles, California, United States|Kaiser Permanente San Diego, San Diego, California, United States",,"https://ClinicalTrials.gov/show/NCT01535833"
2,"NCT04164381","Robotic Rehabilitation and Cognitive Functions",,"Completed","No Results Available","Stroke","Device: Robotic assisted intervention","Change in Symbol Digit Modalities Test (SDMT)|Tower of London (TOL)|Change in Rey-Osterrieth Complex Figure Test (ROCF).|Change in Digit Span (DS)|Change in Stroop and Color Word test (SCWT)","Fondazione Don Carlo Gnocchi Onlus","All","35 Years to 85 Years   (Adult, Older Adult)","Not Applicable","51","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","FDGCOG_19","November 18, 2019","March 30, 2020","March 30, 2020","November 15, 2019",,"May 7, 2020","Don Gnocchi Foundation, Rome, Italy",,"https://ClinicalTrials.gov/show/NCT04164381"
3,"NCT01187160","Transoral Robotic Surgery (TORS) for Sleep Apnea",,"Completed","No Results Available","Obstructive Sleep Apnea","Procedure: Transoral robotic surgery (TORS)","To assess if the da Vinci® Robotic Surgical System (Intuitive Surgical, Inc., Sunnyvale, CA) allows for ""adequate exposure"" for transoral resection of hypertrophic lingual tonsils in patients with obstructive sleep apnea.|To assess ability to perform the transoral diagnostic removal of hypertrophic lingual tonsils using the robotic system for transoral resection of the tongue base in patients with obstructive sleep apnea.|To assess operative time to perform the transoral diagnostic removal of hypertrophic lingual tonsils using the robotic system for transoral resection of the tongue base in patients with obstructive sleep apnea.|To assess blood loss during the transoral diagnostic removal of hypertrophic lingual tonsils using the robotic system for transoral resection of the tongue base in patients with obstructive sleep apnea.|To assess complications of the transoral diagnostic removal of hypertrophic lingual tonsils using the robotic system for transoral resection of the tongue base in patients with obstructive sleep apnea.","University of Pennsylvania","All","18 Years and older   (Adult, Older Adult)","Not Applicable","154","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","809623","October 2009","October 2014","November 2014","August 23, 2010",,"August 22, 2016","University of Pennsylvania, Philadelphia, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT01187160"
4,"NCT03093675","Robotic Assisted Surgery for Treatment of Gynecological Diseases: Pilot Study",,"Completed","No Results Available","Adnexal Diseases|Uterine Diseases","Device: TELELAP ALF-X Robotic Surgical System","Feasibility and complications of robotic assisted surgery in the treatment of gynecological diseases|Robotic assisted surgery learning curve assessed through the reduction of procedure times|Procedure times|Intra- and post-operative complications|Post-operative pain","SOFAR S.p.A.","Female","18 Years and older   (Adult, Older Adult)","Not Applicable","150","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TELELAP-ALF-X","October 23, 2013","December 9, 2014","December 9, 2014","March 28, 2017",,"March 28, 2017","Department for the Protection of Health of Women, Newborns, Children and Adolescents A. Gemelli University Polyclinic Catholic University of the Sacred Heart, Rome, Italy",,"https://ClinicalTrials.gov/show/NCT03093675"
5,"NCT03876977","Robotic Decompression of the Pudendal Nerve in Pudendal Neuralgia","ERIS","Not yet recruiting","No Results Available","Robotic Decompression","Procedure: Robotic laparoscopic decompression of pudendal nerve entrapment","Collection of the maximum pain intensity on a numerical scale (EN), calculated on 10 points. (0 no pain -10 extreme pain )","University Hospital, Strasbourg, France","All","18 Years to 70 Years   (Adult, Older Adult)","Not Applicable","44","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","7253","October 1, 2019","October 1, 2019","December 1, 2022","March 15, 2019",,"August 21, 2019",,,"https://ClinicalTrials.gov/show/NCT03876977"
6,"NCT02607475","Evaluation of Robotic Telesonography",,"Recruiting","No Results Available","Adult Abdominal Imaging|Pediatric Abdominal Imaging|Obstetric Imaging","Device: Robotic telesonography (MELODY Patient System, AdEchoTech)|Device: Conventional sonography (EPIQ 5, Philips or LOGIQ E9, GE Healthcare)","Diagnostic performance of robotic telesonography, expressed as the concordance of measurements and concordance of findings visualized with robotic telesonography using conventional sonography as a reference standard.|Duration of robotic telesonography exams relative to conventional sonography|Acceptability of the robotic telesonography experience to patients measured using Likert items|Acceptability of the robotic telesonography system to remote users (sonographers) and patient-site assistants measured using Likert items","University of Saskatchewan","All","5 Years and older   (Child, Adult, Older Adult)","Not Applicable","90","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","RT-01","November 2015","June 2020","June 2020","November 18, 2015",,"October 12, 2018","Saskatoon Medical Imaging, Saskatoon, Saskatchewan, Canada|Royal University Hospital, Saskatoon, Saskatchewan, Canada|The Ultrasound Centre, Saskatoon, Saskatchewan, Canada",,"https://ClinicalTrials.gov/show/NCT02607475"
7,"NCT03453736","Staff Experiences in Robotic Theatres",,"Recruiting","No Results Available","Robotic Staff Experiences","Other: No intervention","Robotic staff experiences.|Robotic staff practices|Staff communication in robotic theatres.|Staff teamwork","University of Leicester","All","18 Years and older   (Adult, Older Adult)",,"35","Other","Observational","Observational Model: Other|Time Perspective: Prospective","0647|237227","June 6, 2018","July 9, 2020","July 30, 2020","March 5, 2018",,"March 11, 2020","University Hospitals of Leicester NHS Trust, Leicester, United Kingdom",,"https://ClinicalTrials.gov/show/NCT03453736"
8,"NCT03519269","Navio Robotic Versus Conventional Total Knee Arthroplasty",,"Recruiting","No Results Available","Osteoarthritis, Knee","Device: Navio™ Robotics-assisted Surgical System","Score on Western Ontario and McMaster Universities Osteoarthritis Index (WOMAC)|Score on the Timed Up and Go Test (TUG)|Score on Short-Form 12 Health Questionnaire (SF-12)|Score on New Knee Society Scores (2011 KSS)|Score on Global Rating Score of Knee Function (GRS)","Columbia University|Smith & Nephew, Inc.","All","40 Years to 85 Years   (Adult, Older Adult)","Not Applicable","86","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","AAAR6537","April 17, 2019","August 1, 2022","December 31, 2022","May 8, 2018",,"October 17, 2019","Columbia University Medical Center, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT03519269"
9,"NCT03878056","Cost-effectiveness Comparison Between Vaginal Versus Robotic Mesh Surgery for Apical Prolapse: Prospective, Cohort Study","KIDS","Recruiting","No Results Available","Prolapse; Female","Device: Vaginal: UpholdTM Lite Vaginal Support - Boston Scientific","Cost-effectiveness measurements and comparison between vaginal and robotic mesh surgery for apical prolapse|Measurement of anatomical outcomes by Pelvic Organ Prolapse Quantification system (POP-Q): vaginal mesh utero-/colpopexy vs Robotic Sacral Colpopexy|Measurement of generic quality of Life (QoL) by The 15D instrument of health-related quality of Life (15D): vaginal mesh utero-/colpopexy vs Robotic Sacral|Measurement of pelvic floor symptoms by Pelvic Floor Distress Inventory (PFDI-20): vaginal mesh utero-/colpopexy vs Robotic Sacral|Ultrasound measurement of mesh length in cm and mapping of mesh in correlation to bladder and urethra: vaginal mesh utero-/colpopexy vs Robotic Sacral|Measurement of generic QoL by health related quality of life by EuroQol 5-dimensions questionnaire (EQ-5D): vaginal mesh utero-/colpopexy vs Robotic Sacral|Measurement of life impact in women with pelvic floor disorders by Pelvic Floor Impact Questionnaire—short form 7 (PFIQ-7): vaginal mesh utero-/colpopexy vs Robotic Sacral|Measurement of sexual function by Pelvic Organ Prolapse/Urinary Incontinence Sexual Function Questionnaire (PISQ-12): vaginal mesh utero-/colpopexy vs Robotic Sacral|Measurement of Pain by patient self-reporting Visual analogue scale (VAS-scale): vaginal mesh utero-/colpopexy vs Robotic Sacral|Measurement of urinary incontinence by patient self-reporting Visual analogue scale (VAS-scale): vaginal mesh utero-/colpopexy vs Robotic Sacral|Measurement of patient satisfaction by patient self-reporting Visual analogue scale (VAS-scale): vaginal mesh utero-/colpopexy vs Robotic Sacral|Measurement of patient recommendation to other patients to undergo same surgery if they suffer apical prolapse (assessed by patient self-reporting Visual analogue scale (VAS-scale): vaginal mesh utero-/colpopexy vs Robotic Sacral","Karolinska Institutet","Female","18 Years to 99 Years   (Adult, Older Adult)",,"200","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","Dnr: 2017/1988-31, 2018/380-32","January 1, 2018","June 25, 2020","December 31, 2030","March 18, 2019",,"March 19, 2019","Division of Obstetrics and Gynecology, Department of Clinical Sciences, Karolinska Institutet Danderyd University Hospital, Stockholm, Sweden",,"https://ClinicalTrials.gov/show/NCT03878056"
10,"NCT03497026","Auris Robotic Endoscopy System for Bronchoscopy",,"Terminated","No Results Available","Lung Cancer","Device: Robotic Bronchoscopy Platform","Completion of the intended bronchoscopic procedure with the Robotic Endoscopy Platform|Incidence of device or procedure related Adverse Events|Identification of correct bronchi leading to the targeted lesions|Ability to localize targeted lesion|Alignment capabilities|Time to REBUS confirmation|Time to the tissue acquisition confirmation|Total procedure time|Diagnostic yield|Conversion to conventional bronchoscopic procedure|Anesthesia time|Incidence of complications unrelated to device","Auris Health, Inc.","All","18 Years to 80 Years   (Adult, Older Adult)","Not Applicable","4","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","DD082015","March 30, 2018","July 10, 2018","July 10, 2018","April 13, 2018",,"February 12, 2019","El Camino Hospital, Mountain View, California, United States|Palo Alto Medical Foundation Mountain View Center, Mountain View, California, United States",,"https://ClinicalTrials.gov/show/NCT03497026"
