Year,Count
2020,4273
2019,12771
2018,10995
2017,8149
2016,6759
2015,6767
2014,6888
2013,6811
2012,5549
2011,5279
2010,4471
2009,4641
2008,4903
2007,4466
2006,4065
2005,3639
2004,2762
2003,1802
2002,1462
2001,1343
2000,1248
1999,1060
1998,1025
1997,982
1996,862
1995,905
1994,729
1993,610
1992,438
1991,456
1990,372
1989,295
1988,219
1987,198
1986,165
1985,64
1984,30
1983,23
1982,13
1981,11
1980,12
1979,4
1978,3
1977,5
1976,7
1975,5
1974,7
1973,6
1972,5
1971,3
1970,2
1969,1
1968,5
1967,3
1966,2
1965,4
1964,5
1963,5
1962,6
1961,3
1960,1
1958,1
1956,1
1954,1
1953,1
1952,1
1951,1
