,title,score,view_count
0,How to use classes to &quot;control dreams&quot;?,160,3611
1,What is the resolution of an image in ImageNet dataset?,27,22815
2,How can I find Imagenet data labels?,11,15502
3,Training Tensorflow Inception-v3 Imagenet on modest hardware setup,10,5632
4,Retrain Tensorflow final layer but still use previous Imagenet classes,10,632
5,TensorFlow: Adding Class to Pre-trained Inception Model &amp; Outputting Full Image Hierarchy,8,4401
6,ImportError: cannot import name &#39;string_int_label_map_pb2&#39;,6,3728
7,Where can i find ImageNet VID dataset?,5,4988
8,VGG16 trained on grayscale imagenet,5,1506
9,Cropping/Scaling ImageNet Images,4,2541
10,Use pre-trained ResNet 50 in Keras for images with 4 channels,4,1187
11,Will YOLO anyhow perform differently from VGG-16. Will using it for image classification instead of VGG make sense?,3,1958
12,Distributed tensorflow parameter server and workers,3,1392
13,ImageNet (Inception v3) model missing from Anaconda Tensorflow?,3,1703
14,How to speed up the &quot;ImageFolder&quot; for ImageNet,3,944
15,Yolo3 on Image-net,3,171
16,Custom Imagenet Dataset,3,151
17,how to choose batch size in caffe,2,2572
18,IndexError: index 1 is out of bounds for axis 0 with size 1 while storing the result as a tuple in python,2,1028
19,Classification imagenet - caffe/caffe.hpp: No such a file or directory,2,4248
20,Convolutional ImageNet network is invariant to flipping images,2,193
21,Deep learning - finetuning on top of Conv net model,2,62
22,Get ImageNet label for a specific index in the 1000-dimensional output tensor in torch,2,4689
23,Does training a multi-labeling CNNs on single-class data hinder accuracy?,2,185
24,Pytorch ImageNet dataset,2,798
25,Can I get list of classes from `torchvision.datasets.ImageNet` without downloading dataset?,2,139
26,CNN for single image camera calibration,2,247
27,Getting RuntimeError: Graph disconnected: cannot obtain value for tensor,2,1172
28,Why is there a discrepancy in the imagenet dataset labels?,2,668
29,Caffe | data augmentation by random cropping,2,870
