"Id","Slug","Title","Subtitle","HostSegmentTitle","ForumId","OrganizationId","CompetitionTypeId","HostName","EnabledDate","DeadlineDate","ProhibitNewEntrantsDeadlineDate","TeamMergerDeadlineDate","TeamModelDeadlineDate","ModelSubmissionDeadlineDate","FinalLeaderboardHasBeenVerified","HasKernels","OnlyAllowKernelSubmissions","HasLeaderboard","LeaderboardPercentage","LeaderboardDisplayFormat","EvaluationAlgorithmAbbreviation","EvaluationAlgorithmName","EvaluationAlgorithmDescription","EvaluationAlgorithmIsMax","ValidationSetName","ValidationSetValue","MaxDailySubmissions","NumScoredSubmissions","MaxTeamSize","BanTeamMergers","EnableTeamModels","EnableSubmissionModelHashes","EnableSubmissionModelAttachments","RewardType","RewardQuantity","NumPrizes","UserRankMultiplier","CanQualifyTiers","TotalTeams","TotalCompetitors","TotalSubmissions"
"13979","testing-a-competition-with-no-data","Testing a competition with no data","Who needs data, not I","InClass","168327","","1","","04/05/2019 20:14:39","04/07/2019 23:59:00","","","","","True","True","False","True","30","0.00000","","","","","","","2","2","","False","False","False","False","","","1","0","False","0","0","0"
"14595","ntut-dl-app-hw3","VizDoom Competition","Training an AI warrior!","InClass","205047","","1","","05/15/2019 14:10:27","05/31/2019 23:59:00","","","","","True","True","False","True","50","0.00000","AE","Absolute Error","Total sum of absolute value of each individual error.","False","","","5","5","","False","False","False","False","","","1","0","False","57","57","117"
"16647","test-for-an-inclass-comp","Test for an inclass comp.","It is a test for inclass competition.","InClass","426342","","1","","11/13/2019 08:21:17","12/31/2019 23:59:00","","","","","True","True","False","True","30","0.00000","AE","Absolute Error","Total sum of absolute value of each individual error.","False","","","2","2","","False","False","False","False","","","1","0","False","0","0","0"
"17859","108-1-dl-app-hw3","VizDoom Competition","NTUT Building Deep Learning Applications Homework 3","InClass","451149","","1","","12/08/2019 05:57:10","12/29/2019 23:59:00","","","","","True","True","False","True","50","0.00000","AE","Absolute Error","Total sum of absolute value of each individual error.","False","","","20","2","","False","False","False","False","","","1","0","False","84","84","170"
"2408","Eurovision2010","Forecast Eurovision Voting","This competition requires contestants to forecast the voting for this year's Eurovision Song Contest in Norway on May 25th, 27th and 29th.","Featured","2","","1","","04/07/2010 07:57:43","05/25/2010 18:00:00","","","","","True","True","False","False","10","0.00000","AE","Absolute Error","Total sum of absolute value of each individual error.","False","","","5","5","","False","False","False","False","USD","1000.0000","1","1","False","22","25","22"
"8910","blg-454e-term-project-competition","BLG 454E Term Project Competition","ITU Computer and Informatics Faculty, BLG 454E Learning From Data, Spring 2018 Term Project","InClass","24780","","1","","03/17/2018 19:08:56","05/25/2018 21:59:00","","","","","True","True","False","True","50","0.00000","AE","Absolute Error","Total sum of absolute value of each individual error.","False","","","9","2","","False","False","False","False","","0.0000","0","0","False","29","65","657"
"18505","nicn","Distance Geometry Learning","Восстановление координатного пространства по матрице расстояний","InClass","542656","","1","","02/25/2020 19:59:20","03/16/2020 23:59:00","","","","","True","True","False","True","100","0.00000","AE","Absolute Error","Total sum of absolute value of each individual error.","False","","","10","2","","True","False","False","False","","","1","0","False","1","1","1"
"19877","108-2-ntut-drl-hw1","108-2-NTUT-DRL-HW1","NTUT Deep Reinforcement Learning Homework 1: Frozen Lake","InClass","598601","","1","","04/03/2020 06:09:02","04/17/2020 23:59:00","","","","","True","True","False","True","50","0.00000","AE","Absolute Error","Total sum of absolute value of each individual error.","False","","","10","2","","False","False","False","False","","","1","0","False","53","53","236"
"20721","108-2-ntut-drl-hw2","NTUT DRL Homework 2 - Car Racing","Training an agent that can race on the tracks","InClass","667447","","1","","05/14/2020 05:45:34","05/29/2020 23:59:00","","","","","True","True","False","True","50","0.00000","AE","Absolute Error","Total sum of absolute value of each individual error.","False","","","20","2","","False","False","False","False","","","1","0","False","50","50","164"
"21222","108-2-ntut-drl-hw3-vizdoom","108-2 NTUT DRL HW3 VizDoom","VizDoom Competition","InClass","716273","","1","","06/08/2020 16:21:52","06/21/2020 23:59:00","","","","","True","True","False","True","50","0.00000","AE","Absolute Error","Total sum of absolute value of each individual error.","False","","","20","2","","False","False","False","False","","","1","0","False","34","34","56"
"21223","car-accident-number-of-death18011765","car_accident_number_of_Death.18011765","사고 건수, 경상,중상자수, 접수 부상자수에 따른 사망자수 추정하기","InClass","720810","","1","","06/10/2020 15:45:20","07/11/2020 23:59:00","","","","","True","True","False","True","100","0.00000","RMSE","Root Mean Squared Error","Square root of the average of the squared errors.","False","","","20","20","","False","False","False","False","","","1","0","False","0","0","0"
"21199","csce5300-bikeshare","Prediction Competition - Bike Sharing Demand","CSCE 5300 regression competition: You are to predict bike share use based on information such as day, time, and weather","InClass","714118","","1","","06/08/2020 06:00:00","06/18/2020 23:00:00","","","","","True","True","False","True","30","0.00000","RMSE","Root Mean Squared Error","Square root of the average of the squared errors.","False","","","20","2","","False","False","False","False","","","1","0","False","9","22","192"
"21231","2020aiboston","2020.AI.Boston","2020.AI.Boston","InClass","718164","","1","","06/09/2020 13:44:56","06/23/2020 23:59:00","","","","","True","True","False","True","100","0.00000","RMSE","Root Mean Squared Error","Square root of the average of the squared errors.","False","","","20","2","","False","False","False","False","","","1","0","False","52","52","455"
