"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT03268031","Artificial Intelligence-assissted Glaucoma Evaluation","AGE","Recruiting","No Results Available","Artificial Intelligence|Glaucoma","Diagnostic Test: Visual field and OCT tests","Accuracy of diagnosis by artificial intelligence algorithm|Sensitivity of diagnosis by artificial intelligence algorithm|Specificity of diagnosis by artificial intelligence algorithm","Sun Yat-sen University|Chinese Academy of Sciences","All","Child, Adult, Older Adult",,"5000","Other","Observational","Observational Model: Case-Only|Time Perspective: Retrospective","ProjectAGE","August 15, 2017","June 1, 2020","January 1, 2021","August 31, 2017",,"September 25, 2019","Zhongshan Ophthalmic Center, Guangzhou, Guangdong, China",,"https://ClinicalTrials.gov/show/NCT03268031"
2,"NCT04131530","Automatic Evaluation of Inflammation Activity in Ulcerative Colitis Using pCLE With Artificial Intelligence",,"Recruiting","No Results Available","Ulcerative Colitis|Artificial Intelligence|Confocal Laser Endomicroscopy","Diagnostic Test: The diagnosis of Artificial Intelligence and endoscopist","The diagnosis efficiency of Artificial Intelligence|Contrast the diagnosis efficiency of Artificial Intelligence with endoscopists","Shandong University","All","18 Years to 80 Years   (Adult, Older Adult)",,"60","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","2019SDU-QILU-10","October 2019","December 2019","December 2019","October 18, 2019",,"October 18, 2019","Department of Gastroenterology, Qilu Hospital, Shandong University, Jinan, Shandong, China",,"https://ClinicalTrials.gov/show/NCT04131530"
3,"NCT03784209","Automatic Real-time Diagnosis of Gastric Mucosal Disease Using pCLE With Artificial Intelligence",,"Recruiting","No Results Available","Gastric Diseases|Artificial Intelligence|Confocal Laser Endomicroscopy","Diagnostic Test: The diagnosis of Artificial Intelligence and endoscopist","The diagnosis efficiency of Artificial Intelligence|Contrast the diagnosis efficiency of Artificial Intelligence with endoscopists","Shandong University","All","18 Years to 80 Years   (Adult, Older Adult)",,"500","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","2018SDU-QILU-12","July 1, 2018","November 1, 2019","November 1, 2019","December 21, 2018",,"October 18, 2019","Endoscopic unit of Qilu Hospital Shandong University, Jinan, Shandong, China",,"https://ClinicalTrials.gov/show/NCT03784209"
4,"NCT04337229","Evaluation of Comfort Behavior Levels of Newborns With Artificial Intelligence Techniques",,"Not yet recruiting","No Results Available","Newborn|Comfort|Nursing|Artificial Intelligence","Other: Artifical intelligent","Images of the newborn|Artificial intelligence techniques","Eskisehir Osmangazi University","All","up to 28 Days   (Child)","Not Applicable","1000","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other","DYIGIT|Ayfer ACIKGOZ","September 2020","December 2020","September 2021","April 7, 2020",,"April 13, 2020",,,"https://ClinicalTrials.gov/show/NCT04337229"
5,"NCT04138771","Validation of an Artificial Intelligence System for Postoperative Management of Cataract Patients",,"Recruiting","No Results Available","Cataract|Postoperative Complications|Artificial Intelligence","Device: An artificial intelligence system for postoperative management of cataract patients","The proportion of accurate, mistaken and miss detection of this artificial intelligence diagnostic system.","Sun Yat-sen University|Ministry of Health, China|Xidian University","All","Child, Adult, Older Adult","Not Applicable","300","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","CCPMOH2019-China-5","January 1, 2013","March 1, 2020","March 1, 2020","October 24, 2019",,"December 3, 2019","Zhongshan Ophthalmic Center, Sun Yat-sen University, Guangzhou, Guangdong, China",,"https://ClinicalTrials.gov/show/NCT04138771"
6,"NCT04126265","Artificial Intelligence-assisted Colonoscopy for Detection of Colon Polyps",,"Recruiting","No Results Available","Artificial Intelligence|Colonoscopy","Device: Artificial intelligence assisted colonoscopy","Detection rate of small polyps (diameter < 6mm)|Number of polyps detected|Polyp size|Polyp morphology","Side Liu|Nanfang Hospital of Southern Medical University","All","18 Years to 80 Years   (Adult, Older Adult)","Not Applicable","560","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","NCT201908-K5-01","September 1, 2019","April 30, 2020","August 31, 2020","October 15, 2019",,"January 2, 2020","Nanfang Hospital, Guangzhou, Guangdong, China",,"https://ClinicalTrials.gov/show/NCT04126265"
7,"NCT04442607","Clinical vAliDation of ARTificial Intelligence in POlyp Detection","CAD-ARTIPOD","Not yet recruiting","No Results Available","Polyp of Colon","Device: artificial intelligence image processing","Total polyp detection during single pass colonoscopy by the artificial intelligence tool in comparison to polyp detection by the endoscopist with endoscopic diagnosis as a gold standard|Total polyp detection during single pass colonoscopy by the artificial intelligence tool in comparison to polyp detection by the endoscopist with histological diagnosis as a gold standard.|The number of extra detected polyps by artificial intelligence with the endoscopic diagnosis as a gold standard.|The number of extra detected polyps by artificial intelligence with the histological diagnosis as a gold standard|The endoscopist's polyp miss rate defined as the additional detection of polyps during colonoscopy|The false positive rate during clean withdrawal.","Universitaire Ziekenhuizen Leuven","All","40 Years and older   (Adult, Older Adult)","Not Applicable","1200","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","S64243","September 1, 2020","February 1, 2021","December 31, 2021","June 22, 2020",,"June 22, 2020","University Hospitals Leuven, Leuven, Vlaams-Brabant, Belgium",,"https://ClinicalTrials.gov/show/NCT04442607"
8,"NCT04314180","Artificial Intelligence System for Assessing Image Quality of Slit-Lamp Images and Its Effects on Diagnosis",,"Active, not recruiting","No Results Available","Anterior Segment Disorders|Artificial Intelligence","Device: Taking slit-lamp images","Performance of artificial intelligence system for distinguish between good image quality and poor image quality|The comparison of the performance for previous artificial intelligence diagnostic system with slit-lamp images of different image quality","Sun Yat-sen University","All","Child, Adult, Older Adult",,"300","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","IMAQUA2020-China-02","February 1, 2020","July 1, 2020","July 1, 2020","March 19, 2020",,"March 19, 2020","Zhongshan Ophthalmic Center, Sun Yat-sen University, Guangzhou, Guangdong, China",,"https://ClinicalTrials.gov/show/NCT04314180"
9,"NCT04289064","Artificial Intelligence System for Assessing Image Quality of Fundus Images and Its Effects on Diagnosis",,"Active, not recruiting","No Results Available","Retinal Diseases|Artificial Intelligence","Device: Taking a fundus image","Performance of artificial intelligence system for distinguish between good image quality and poor image quality|The comparison of the performance for previous artificial intelligence diagnostic system with fundus images of different image quality","Sun Yat-sen University","All","Child, Adult, Older Adult",,"300","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","IMAQUA2020-China-01","February 1, 2020","July 1, 2020","July 1, 2020","February 28, 2020",,"February 28, 2020","Zhongshan Ophthalmic Center, Sun Yat-sen University, Guangzhou, Guangdong, China",,"https://ClinicalTrials.gov/show/NCT04289064"
10,"NCT04186104","Artificial Intelligence in Children's Clinic",,"Recruiting","No Results Available","Artificial Intelligence|Outpatient","Other: Routine diagnostic process|Other: Artificial intelligence assisted diagnosis process","Evaluate the efficiency of the two processes|Evaluate patients' rate of satisfaction for medical processes|Evaluate rate of single visit and rate of return visit|Economic measurements|Work efficiency of doctors|Evaluate the accuracy of examination items prescribed by the AI system and inexperienced physicians","Shanghai Jiao Tong University School of Medicine","All","2 Months to 18 Years   (Child, Adult)","Not Applicable","2000","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","SCMCIRB-K2019020-2","March 21, 2020","June 30, 2020","December 31, 2020","December 4, 2019",,"May 21, 2020","Shanghai Children's Medical Center, Shanghai Jiao Tong University School of Medicine, Shanghai, Shanghai, China|Shanghai Children's Medical Center, Shanghai, China",,"https://ClinicalTrials.gov/show/NCT04186104"
