OPPORTUNITY NUMBER,OPPORTUNITY TITLE,AGENCY CODE,AGENCY NAME,ESTIMATED FUNDING,EXPECTED NUMBER OF AWARDS,GRANTOR CONTACT,AGENCY CONTACT PHONE,AGENCY CONTACT EMAIL,ESTIMATED POST DATE,ESTIMATED APPLICATION DUE DATE,POSTED DATE,CLOSE DATE,LAST UPDATED DATE/TIME,VERSION
N00014-18-R-SN05,Special Program Announcement for 2018 Office of Naval Research Basic Research Opportunity: “Advancing Artificial Intelligence for the Naval Domain”,DOD-ONR,Office of Naval Research,,7,"Michelle Parrott
Contracts Specialist
Phone 703-696-2044",,michelle.parrott@navy.mil,,,02/08/2018,05/11/2018,02/08/2018 8:59:08,Synopsis 1
DARPA-BAA-16-53,Explainable Artificial Intelligence (XAI),DOD-DARPA-I2O,DARPA - Information Innovation Office,,,"Technical POC, PM DARPA/I2O",,XAI@darpa.mil,,,08/10/2016,11/01/2016,08/10/2016 16:22:10,Synopsis 1
DE-FOA-0002122,Scientific Machine Learning and Artificial Intelligence: Uncertainty Quantification,PAMS-SC,Office of Science,2000000,6,"Steve Lee
Program Manager
Phone 301-903-5710",,Steve.Lee@science.doe.gov,,,04/16/2019,05/31/2019,04/16/2019 14:58:16,Synopsis 2
DE-FOA-0002224,Scientific Discovery through Advanced Computing: Scientific Machine Learning and Artificial Intelligence for Fusion Energy Sciences,PAMS-SC,Office of Science,21000000,7,"Matthew Lanctot
Program Manager
Phone 301-903-1972",,Matthew.Lanctot@science.doe.gov,,,03/04/2020,04/30/2020,03/03/2020 13:03:03,Synopsis 1
RFA-AG-21-018,Artificial Intelligence and Technology Collaboratories for Aging Research Coordinating Center (AITCC) (R24 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,875000,1,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,03/12/2020,10/01/2020,03/12/2020 12:53:12,Synopsis 1
RFA-AG-21-009,Artificial Intelligence and Technology Collaboratories for Aging Research (P30 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,7000000,2,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,03/12/2020,10/01/2020,03/12/2020 12:57:12,Synopsis 1
N00014-19-S-SN08,Science of Artificial Intelligence – Basic and Applied Research for the Naval Domain,DOD-ONR,Office of Naval Research,,,"Michelle R Parrott
Contracts Specialist
Phone 703-696-2044",,michelle.parrott@navy.mil,,,06/28/2019,10/15/2019,06/28/2019 8:41:28,Synopsis 1
NIJ-2018-14000,NIJ FY18 Artificial Intelligence Technology Applied Research and Development for Law Enforcement Applications,USDOJ-OJP-NIJ,National Institute of Justice,2000000,4,"For assistance with any other requirements of this solicitation, contact the National Criminal Justice Reference Service (NCJRS) Response Center: toll-free at 1-800-851-3420; via TTY at 301-240-6310 (hearing impaired only); email grants@ncjrs.gov; fax to 301-240-5830; or web chat at https://webcontact.ncjrs.gov/ncjchat/chat.jsp. The NCJRS Response Center hours of operation are 10:00 a.m. to 6:00 p.m. eastern time, Monday through Friday, and 10:00 a.m. to 8:00 p.m. eastern time on the solicitation close date. General information on applying for NIJ awards can be found at www.nij.gov/funding/Pages/welcome.aspx. Answers to frequently asked questions that may assist applicants are posted at www.nij.gov/funding/Pages/faqs.aspx.
grants@ncjrs.gov
",,grants@ncjrs.gov,,,02/26/2018,04/30/2018,04/03/2018 11:59:03,Synopsis 6
NIJ-2019-15287,"Artificial Intelligence Research and Development to Support Community Supervision, FY 2019",USDOJ-OJP-NIJ,National Institute of Justice,3000000,3,"For assistance with any other requirements of this solicitation, contact the National Criminal Justice Reference Service (NCJRS) Response Center: toll-free at 1-800-851-3420; via TTY at 301-240-6310 (hearing impaired only); email grants@ncjrs.gov; fax to 301-240-5830; or web chat at https://webcontact.ncjrs.gov/ncjchat/chat.jsp. The NCJRS Response Center hours of operation are 10:00 a.m. to 6:00 p.m. eastern time, Monday through Friday, and 10:00 a.m. to 8:00 p.m. eastern time on the solicitation close date. General information on applying for NIJ awards can be found at www.nij.gov/funding/Pages/welcome.aspx. Answers to frequently asked questions that may assist applicants are posted at www.nij.gov/funding/Pages/faqs.aspx.
grants@ncjrs.gov",,grants@ncjrs.gov,,,02/15/2019,05/13/2019,04/15/2019 14:59:15,Synopsis 3
DE-FOA-0002321,Artificial Intelligence and Decision Support for Complex Systems,PAMS-SC,Office of Science,16000000,20,"William Spotz, Ph.D.
Program Officer
Phone 301-903-9938",,william.spotz@science.doe.gov,,,04/08/2020,06/09/2020,06/08/2020 16:35:08,Synopsis 2
