OPPORTUNITY NUMBER,OPPORTUNITY TITLE,AGENCY CODE,AGENCY NAME,ESTIMATED FUNDING,EXPECTED NUMBER OF AWARDS,GRANTOR CONTACT,AGENCY CONTACT PHONE,AGENCY CONTACT EMAIL,ESTIMATED POST DATE,ESTIMATED APPLICATION DUE DATE,POSTED DATE,CLOSE DATE,LAST UPDATED DATE/TIME,VERSION
DE-FOA-0001956,Machine Learning for Geothermal Energy,DOE-GFO,Golden Field Office,3600000,6," Michael J. Weathers 
machinelearninggeo@ee.doe.gov
",,machinelearninggeo@ee.doe.gov,,,07/19/2018,11/13/2018,10/17/2018 11:14:17,Synopsis 2
HR001119S0030,Competency-Aware Machine Learning (CAML),DOD-DARPA-DSO,DARPA - Defense Sciences Office,,,"BAA Coordinator
CAML@darpa.mil",,CAML@darpa.mil,,,02/19/2019,04/22/2019,02/19/2019 17:20:19,Synopsis 1
DE-FOA-0002319,Scientific Machine Learning for Modeling and Simulations,PAMS-SC,Office of Science,10000000,25,"Dr. Steven Lee
Program Manager
Phone 301-903-5710",,Steven.Lee@science.doe.gov,,,04/08/2020,05/29/2020,04/07/2020 15:49:07,Synopsis 1
DE-FOA-0002122,Scientific Machine Learning and Artificial Intelligence: Uncertainty Quantification,PAMS-SC,Office of Science,2000000,6,"Steve Lee
Program Manager
Phone 301-903-5710",,Steve.Lee@science.doe.gov,,,04/16/2019,05/31/2019,04/16/2019 14:58:16,Synopsis 2
DE-FOA-0001575,Machine Learning and Understanding for,PAMS-SC,Office of Science,3000000,4,"Dr. Robinson Pino
Program Manager
Phone: 301-903-1263",,Robinson.Pino@science.doe.gov,,,04/18/2016,06/21/2016,04/18/2016 12:29:18,Synopsis 1
DE-FOA-0001920,Request for Information (RFI)- Machine Learning for Geothermal Energy and the Geosciences,DOE-GFO,Golden Field Office,1,1," Michael J. Weathers 
machinelearninggeo@ee.doe.gov
",,machinelearninggeo@ee.doe.gov,,,05/07/2018,06/06/2018,05/07/2018 16:38:07,Synopsis 1
HR001119S0037,Real Time Machine Learning (RTML),DOD-DARPA-MTO,DARPA - Microsystems Technology Office,,,"BAA Coordinator
HR001119S0037@darpa.mil",,HR001119S0037@darpa.mil,,,03/15/2019,05/01/2019,03/15/2019 11:14:15,Synopsis 1
DE-FOA-0002306,FAIR Data and Models for Artificial Intelligence and Machine Learning,PAMS-SC,Office of Science,8500000,7,"Dr. Laura Biven
Program Manager
Phone 301-903-5000",,Laura.Biven@science.doe.gov,,,04/02/2020,05/15/2020,04/01/2020 11:20:01,Synopsis 1
DARPA-BAA-13-31,Probabilistic Programming for Advancing Machine Learning (PPAML),DOD-DARPA-I2O,DARPA - Information Innovation Office,,,"Dr. Kathleen Fisher, Program Manager, DARPA/I2O",,PPAML@darpa.mil,,,04/01/2013,05/16/2013,04/16/2013 15:05:16,Synopsis 2
FOA-AFRL-AFOSR-2017-0002,CENTER OF EXCELLENCE: Efficient and Robust Machine Learning (ERML),DOD-AFOSR,Air Force Office of Scientific Research,5000000,1,"King Nwoha
Procurement Analyst
Phone 703 6961146",,afosr.baa@us.af.mil,,,10/02/2017,01/04/2018,10/19/2017 15:59:19,Synopsis 5
HR001117S0016,Lifelong Learning Machines (L2M),DOD-DARPA-MTO,DARPA - Microsystems Technology Office,,,"Dr. Hava Siegelmann, 
Program Manager",,HR001117S0016@darpa.mil,,,04/12/2017,06/30/2017,06/08/2017 14:32:08,Synopsis 2
DE-FOA-0002224,Scientific Discovery through Advanced Computing: Scientific Machine Learning and Artificial Intelligence for Fusion Energy Sciences,PAMS-SC,Office of Science,21000000,7,"Matthew Lanctot
Program Manager
Phone 301-903-1972",,Matthew.Lanctot@science.doe.gov,,,03/04/2020,04/30/2020,03/03/2020 13:03:03,Synopsis 1
USGS18FA0158,Machine learning methods application for analyzing hydro-acoustic telemetry data,DOI-USGS1,Geological Survey,49296,1,"Desiree Santa
Grant Specialist
Phone 703-648-7382",,dsanta@usgs.gov,,,06/01/2018,06/15/2018,05/31/2018 20:25:31,Synopsis 1
HR001118S0058-08,Polyplexus Pilot Topic Opportunity Notice - Quantum Machine Learning (08),DOD-DARPA-DSO,DARPA - Defense Sciences Office,,,"BAA Coordinator
PolyplexusPilot@darpa.mil",,PolyplexusPilot@darpa.mil,,,03/18/2019,06/14/2019,03/18/2019 15:54:18,Synopsis 1
PD-19-058Y,"Mind, Machine and Motor Nexus",NSF,National Science Foundation,,,"NSF grants.gov support
grantsgovsupport@nsf.gov
",,grantsgovsupport@nsf.gov,,,06/12/2018,,06/12/2018 1:00:12,Synopsis 1
HR001119S0005,Machine Common Sense (MCS),DOD-DARPA-I2O,DARPA - Information Innovation Office,,,"BAA Coordinator
MCS@darpa.mil
",,MCS@darpa.mil,,,10/19/2018,12/18/2018,10/19/2018 12:20:19,Synopsis 1
DARPA-BAA-09-40,Deep Learning (DL),DOD-DARPA-IPTO,DARPA - Information Processing Technology Office,,,"Josh Alspector, Program Manager",,DARPA-BAA-09-40@darpa.mil,,,04/15/2009,04/14/2010,05/06/2009 11:44:06,Synopsis 2
W81XWH-16-R-MSI2,Medical Simulation and Information Sciences - INter-professional TEam-based Learning in Early Stages of Learning (Team_INTEL),DOD-AMRAA,Dept. of the Army -- USAMRAA,,,301-682-5507; help@ebrap.org,,help@ebrap.org,,,03/28/2016,08/22/2016,04/04/2016 17:45:04,Synopsis 3
PD-19-127Y,The Science of Learning and Augmented Intelligence Program,NSF,National Science Foundation,,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,09/19/2019,07/08/2020,01/31/2020 1:00:31,Synopsis 3
ONRBAA10-017,Active Transfer Learning (ATL),DOD-ONR,Office of Naval Research,,,"Jennifer Brown
Contract Specialist
Phone 703-588-2432",,jennifer.brown4@navy.mil,,,04/22/2010,09/04/2010,04/22/2010 8:23:22,Synopsis 1
W81XWH-17-R-MSI1,JPC-1 MSIS MACH Learning Award,DOD-AMRAA,Dept. of the Army -- USAMRAA,3200000,2,"CDMRP Help Desk
Phone: 301-682-5507
Email: help@eBRAP.org
",,help@eBRAP.org,,,12/12/2016,05/12/2017,12/12/2016 13:54:12,Synopsis 1
20-556,"Multimodal Sensor Systems for Precision Health Enabled by Data Harnessing, Artificial Intelligence, and Learning",NSF,National Science Foundation,6500000,10,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,03/12/2020,06/08/2020,03/12/2020 1:00:12,Synopsis 1
N00014-19-S-SN07,Artificial Intelligence/Machine Learning Enabled Capabilities,DOD-ONR,Office of Naval Research,,,"Phillip Lee
Contracting Officer
Phone 7036962820",,phillip.m.lee2@navy.mil,,,06/25/2019,09/06/2019,08/14/2019 13:31:14,Synopsis 2
HR001118S0044,Learning with Less Labels (LwLL),DOD-DARPA-I2O,DARPA - Information Innovation Office,,,"BAA Coordinator
LwLL@darpa.mil
",,LwLL@darpa.mil,,,08/06/2018,11/02/2018,09/06/2018 18:01:06,Synopsis 2
USGS-19-FA-0203,"Deep Learning for Automated Detection and Classification of Waterfowl, Seabirds, and other Wildlife from Digital Aerial Imagery",DOI-USGS1,Geological Survey,85000,1,"Desiree T Santa
Grant Specialist
Phone 703-648-7382",,dsanta@usgs.gov,,,06/07/2019,06/17/2019,06/07/2019 13:03:07,Synopsis 1
ED-GRANTS-050914-001,"OSERS/OSEP: Educational Technology, Media, and Materials for Individuals with Disabilities: National Center on Accessible Educational Materials for Learning CFDA Number 84.327Z",ED,Department of Education,1200000,1,"Julius Cotton
ED Grants.gov FIND Systems Admin.
Phone 202-245-6288
EducationGrantInquiries@ed.gov
Program Manager:
Carmen Sanchez 
U.S. Department of Education, 
400 Maryland Avenue SW., Room 4057
Potomac Center Plaza (PCP) 
Washington, DC 20202-2600. 
Telephone: (202) 245-6595 or e-Mail: .
",,Carmen.Sanchez@ed.gov,,,05/09/2014,06/23/2014,05/09/2014 8:41:09,Synopsis 1
RUS-20-01-DLT,Distance Learning and Telemedicine Grants,USDA-RUS,Utilities Programs,71700000,200,"Richard Anderson
Grants Manager
Phone 2027200800",,dltinfo@usda.gov,,,02/10/2020,04/10/2020,02/10/2020 11:55:10,Synopsis 2
W911NF-19-S-0013-RFI-03,Request for Information - HBCU/MI Artificial Intelligence/Machine Learning,DOD,Department of Defense,,,"Evelyn Kent
Director, DOD HBCU/MI Program and Outreach OUSD(R&E)/RT&L
571.372.6546",,osd.pentagon.ousd-r-e.mbx.rt-rtl-hbcu-mi@mail.mil,,,12/05/2019,01/31/2020,12/05/2019 13:55:05,Synopsis 1
BAA-RQKH-2015-0001,"Methods and Technologies for Personalized Learning, Modeling and Assessment",DOD-AFRL,Air Force -- Research Lab,49000000,10,"Alycia Armbruster
Contracting Officer
937-713-9870",,alycia.armbruster@us.af.mil,,,01/15/2015,11/17/2019,03/14/2019 7:32:14,Synopsis 5
RUS-20-02-DLT,Distance Learning and Telemedicine Grants,USDA-RUS,Utilities Programs,40000000,200,"Richard Anderson
Grants Manager
Phone 2027200800",,dltinfo@usda.gov,,,04/15/2020,07/13/2020,04/15/2020 11:19:15,Synopsis 3
SOL-263-14-000005,US-Egypt Primary Learning Program,USAID-EGY,Egypt USAID-Cairo,24,1,"Sherine Gerguis
Grantor
Phone 202-25226925",,sgerguis@usaid.gov,,,04/16/2014,07/09/2014,05/20/2014 9:40:20,Synopsis 3
RFA-168-16-000001,USAID/Enhancing and Advancing Basic Learning and Education in Bosnia-Herzegovina (ENABLE-BiH),USAID-BOS,Bosnia USAID-Herzegovina,1000000,20,"Lidija Kranjec
Acquisition and Assistance Spec
Phone 38733704324",,lkranjec@usaid.gov,,,05/23/2016,06/23/2016,06/03/2016 8:38:03,Synopsis 2
720FDA19RFI01,"Monitoring, Evaluation, Accountability, and Learning (MEAL) in Humanitarian Settings",USAID,Agency for International Development,,,RFIMeal@ofda.gov,,RFIMeal@ofda.gov,,,12/21/2018,01/11/2019,12/21/2018 16:49:21,Synopsis 2
RFA-615-16-000010,"County Measurements, Learning and Accountability Program (CMLAP)",USAID-KEN,Kenya USAID-Nairobi,17750000,1,"Stephen Wachira Titus
Acquisition and Assistance Specialist
Phone 254-20-862-2198",,swachira@usaid.gov,,,04/18/2016,05/18/2016,05/06/2016 4:01:06,Synopsis 2
FOA-ETA-18-07,Veterans Accelerated Learning for Licensed Occupations Project,DOL-ETA,Employment and Training Administration,4500000,3,"Stephanie Pena
Grants Management Specialist
Pena.stephanie.l@dol.gov",,Pena.stephanie.l@dol.gov,,,04/12/2018,05/14/2018,04/12/2018 9:08:12,Synopsis 1
FOA-ETA-19-06,Veterans Accelerated Learning for Licensed Occupations Project,DOL-ETA,Employment and Training Administration,2500000,3,"Michael Lessmeier
Grants Management Specialist
Lessmeier.Michael.J@dol.gov",,Lessmeier.Michael.J@dol.gov,,,04/10/2019,05/10/2019,04/10/2019 13:49:10,Synopsis 7
HR001119S0038,Science of Artificial Intelligence and Learning for Open-world Novelty (SAIL-ON),DOD-DARPA-DSO,DARPA - Defense Sciences Office,,,"BAA Coordinator
SAILON@darpa.mil",,SAILON@darpa.mil,,,03/15/2019,05/10/2019,05/01/2019 15:54:01,Synopsis 2
PD-18-7607,"Energy, Power, Control, and Networks",NSF,National Science Foundation,,,"NSF grants.gov support
grantsgovsupport@nsf.gov
",,grantsgovsupport@nsf.gov,,,06/22/2018,,06/22/2018 1:00:22,Synopsis 1
DE-FOA-0001467,NEXT GENERATION ELECTRIC MACHINES: ENABLING TECHNOLOGIES,DOE-GFO,Golden Field Office,25000000,12," AMO NGEM Mailbox 
AMONGEM@ee.doe.gov
",,AMONGEM@ee.doe.gov,,,03/09/2016,06/07/2016,07/21/2016 15:47:21,Synopsis 4
PD-13-1468,Manufacturing Machines and Equipment,NSF,National Science Foundation,300000,0,"NSF grants.gov support
grantsgovsupport@nsf.gov
",,grantsgovsupport@nsf.gov,,,08/22/2013,,06/19/2014 14:21:19,Synopsis 6
PD-12-1468,Manufacturing Machines and Equipment,NSF,National Science Foundation,300000,0,"NSF grants.gov support
grantsgovsupport@nsf.gov
",,grantsgovsupport@nsf.gov,,,12/09/2011,,09/19/2013 16:38:19,Synopsis 5
DE-FOA-0001208,NEXT GENERATION ELECTRIC MACHINES: MEGAWATT CLASS MOTORS,DOE-GFO,Golden Field Office,20000000,6,"EERE-Exchange Support
EERE-ExchangeSupport@hq.doe.gov
",,EERE-ExchangeSupport@hq.doe.gov,,,03/18/2015,06/03/2015,03/18/2015 18:33:18,Synopsis 1
FOR-FD-20-009,"Smoking Machine Adaptor Design Project for ENDS, Cigars, and Heated Tobacco Products",HHS-FDA,Food and Drug Administration,,4,"Rene A Vasquez
Grants Management Specialist",301-796-3546,rene.vasquez@fda.hhs.gov,11/01/2020,,03/09/2020,,03/09/2020 9:45:09,Forecast 2
RFA-FD-21-003,"Smoking Machine Adaptor Design Project for ENDS, Cigars, and Heated Tobacco Products (UC2) Clinical Trials Not Allowed",HHS-FDA,Food and Drug Administration,2000000,1,"Rene Vasquez
Grants Management Specialist",,rene.vasquez@fda.hhs.gov,,,04/13/2020,07/10/2020,05/18/2020 14:19:18,Synopsis 2
11-SN-0008,Special Program Announcement for 2011 Office of Naval Research Machine Reasoning and Intelligence,DOD-ONR,Office of Naval Research,,,"Lynn Christian
Contract Specialist
Phone 703-696-1575",,lynn.christian@navy.mil,,,03/08/2011,05/15/2011,03/08/2011 13:25:08,Synopsis 1
PD-08-1468,Manufacturing and Construction Machines and Equipment,NSF,National Science Foundation,300000,0,"NSF grants.gov support
grantsgovsupport@nsf.gov
",,grantsgovsupport@nsf.gov,,,03/23/2009,,08/04/2010 16:50:04,Synopsis 4
PD-10-1468,Manufacturing and Construction Machines and Equipment,NSF,National Science Foundation,300000,0,"NSF grants.gov support
grantsgovsupport@nsf.gov
",,grantsgovsupport@nsf.gov,,,08/20/2010,,12/09/2011 18:43:09,Synopsis 12
DE-FOA-0001525,Notice of Intent: Next Generation of Electric Machines: Enabling Technologies,DOE-GFO,Golden Field Office,25000000,12," EERE Exchange 
EERE-Exchangesupport@hq.doe.gov
",,EERE-Exchangesupport@hq.doe.gov,,,02/18/2016,,02/18/2016 15:53:18,Synopsis 1
DE-FOA-0001221,Notice of Intent : Next Generation of Electric Machines,DOE-GFO,Golden Field Office,0,,"Chris R. Kudola
Chris.kudola@ee.doe.gov
",,Chris.kudola@ee.doe.gov,,,02/04/2015,,02/04/2015 12:18:04,Synopsis 1
N00014-18-R-SN05,Special Program Announcement for 2018 Office of Naval Research Basic Research Opportunity: “Advancing Artificial Intelligence for the Naval Domain”,DOD-ONR,Office of Naval Research,,7,"Michelle Parrott
Contracts Specialist
Phone 703-696-2044",,michelle.parrott@navy.mil,,,02/08/2018,05/11/2018,02/08/2018 8:59:08,Synopsis 1
CRANBAA20-0001,Naval Service Warfare Center (NSWC) Crane Office-Wide,DOD-ONR-SEA-CRANE,NSWC - CRANE,2000000,4,"Myron L Stoll
Grantor
Phone 812-854-4771",,myron.stoll@navy.mil,,,02/03/2020,03/04/2020,02/07/2020 8:50:07,Synopsis 9
N00253190001,Undersea Warfare Long Range Development Broad Agency Announcement,DOD-ONR-SEA-N00253,NUWC Division Keyport,120000,,"Katie Harrigan
Grants-Contracting Officer
Phone 360-315-3429",,Kathleen.Harrigan@navy.mil,,,05/10/2019,06/19/2019,06/05/2019 14:39:05,Synopsis 7
PD-18-7564,"Communications, Circuits, and Sensing-Systems",NSF,National Science Foundation,,,"NSF grants.gov support
grantsgovsupport@nsf.gov
",,grantsgovsupport@nsf.gov,,,06/22/2018,,06/22/2018 1:00:22,Synopsis 1
DHS-ST-17-104-CBD-0001,Genetic Engineering Machine Competition,DHS-OPO,Office of Procurement Operations - Grants Division,35000,10,"Janet Bailey
Grants Specialist
Phone 202-447-0362",,janet.bailey@hq.dhs.gov,,,06/30/2017,07/31/2017,06/30/2017 13:32:30,Synopsis 1
13-SN-0002,Special Program Announcement for the Office of Naval Research Research Opportunity:  Text Analytics for Data to Decisions (D2D),DOD-ONR,Office of Naval Research,,10,"Kenesha Hargrave
Contract Specialist
Phone 703-696-5354",,kenesha.y.hargrave@navy.mil,,,12/03/2012,01/15/2013,12/03/2012 9:19:03,Synopsis 1
13-565,Data-Intensive Research to Improve Teaching and Learning - An Ideas Lab to Foster Transformative Approaches to Teaching and Learning,NSF,National Science Foundation,5000000,10,"NSF grants.gov support
grantsgovsupport@nsf.gov
",,grantsgovsupport@nsf.gov,,,08/13/2013,,09/12/2014 8:56:12,Synopsis 2
