OPPORTUNITY NUMBER,OPPORTUNITY TITLE,AGENCY CODE,AGENCY NAME,ESTIMATED FUNDING,EXPECTED NUMBER OF AWARDS,GRANTOR CONTACT,AGENCY CONTACT PHONE,AGENCY CONTACT EMAIL,ESTIMATED POST DATE,ESTIMATED APPLICATION DUE DATE,POSTED DATE,CLOSE DATE,LAST UPDATED DATE/TIME,VERSION
PD-20-144Y,Foundational Research in Robotics,NSF,National Science Foundation,,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,02/12/2020,,05/27/2020 1:00:27,Synopsis 4
PAR-10-279,Robotics Technology Development and Deployment [RTD2] (R43),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV
",,FBOWebmaster@OD.NIH.GOV,,,09/14/2010,12/20/2010,09/14/2010 15:08:14,Synopsis 1
W911NF-08-R-0012,Robotics Collaborative Technology Alliance (CTA),DOD-AMC,Dept of the Army -- Materiel Command,209700000,1,"Ernest Dixon
Procurement Analyst
Phone 919-549-4270",,ernie.dixon@us.army.mil,,,02/02/2009,03/12/2009,03/03/2009 7:48:03,Synopsis 3
W81XWH-17-MSISRP-FOR,"DoD Medical Simulation and Information Sciences, Toward A Next-Generation Trauma Care Capability: Foundational Research for Autonomous, Unmanned, and Robotics Development of Medical Technologies (FORwARD) Award",DOD-AMRAA,Dept. of the Army -- USAMRAA,2600000,2,"CDMRP Help Desk
Phone: 301-682-5507
Email: help@eBRAP.org
",,help@eBRAP.org,,,09/28/2017,02/05/2018,09/28/2017 12:58:28,Synopsis 1
MDA-2014-DACV-STEM-0001,Missile Defense Agency STEM Outreach B.E.S.T. Robotics Grant,DOD,Department of Defense,,,"Michelle Leger
Contract Specialist
Phone 256-450-4663",,michelle.leger@mda.mil,,,04/28/2014,05/21/2014,05/02/2014 11:01:02,Synopsis 2
DE-FOA-0001374,DOE Traineeship in Robotics,DOE-ID,Idaho Field Office,10000000,4,"Jeremy Germann
Contract Specialist
Phone 2085265820",,germanjr@id.doe.gov,,,08/04/2015,09/30/2015,08/04/2015 19:00:04,Synopsis 1
NNA10332111C,ROBOTICS OUTREACH COMPETITION - ROC,NASA-ARC,NASA Ames Research Center,4000000,1,"Bethany A McClave
Bethany.A.McClave@nasa.gov
NAIS Support
nais.support@nasa.gov
",,Bethany.A.McClave@nasa.gov,,,09/23/2010,,09/23/2010 20:42:23,Synopsis 1
11-553,National Robotics Initiative,NSF,National Science Foundation,50000000,75,"NSF grants.gov support
grantsgovsupport@nsf.gov
",,grantsgovsupport@nsf.gov,,,06/29/2011,10/18/2012,10/19/2012 11:04:19,Synopsis 4
12-607,National Robotics Initiative,NSF,National Science Foundation,50000000,40,"NSF grants.gov support
grantsgovsupport@nsf.gov
",,grantsgovsupport@nsf.gov,,,09/11/2012,,11/13/2013 15:08:13,Synopsis 5
MDA-2017-DACV-STEM-0001,Missile Defense Agency STEM Outreach BEST Robotics Grant,DOD-MDA,Missile Defense Agency,50000,,"Mitchell Shelton
Contract Specialist
Phone 256-450-4680",,mitchell.shelton@mda.mil,,,05/03/2017,06/30/2017,05/17/2017 18:30:17,Synopsis 4
MDA-2018-DACV-STEM-0002,"Missile Defense Agency (MDA) Science, Technology, Engineering, and Mathematics (STEM) Boosting Engineering Science and Technology (BEST) Robotics: Kits 2018",DOD-MDA,Missile Defense Agency,75000,,"John Michael
Grantor
Phone 256-450-1054",,john.michael@mda.mil,,,04/17/2018,06/01/2018,04/17/2018 10:56:17,Synopsis 2
MDA-2019-CTV-STEM-0001,"Missile Defense Agency (MDA) Science, Technology, Engineering, and Mathematics (STEM) Boosting Engineering Science and Technology (BEST) Robotics: Kits 2019",DOD-MDA,Missile Defense Agency,75000,,"Andrea Mitchell
Grantor
Phone 256-450-1375",,andrea.mitchell@mda.mil,,,01/14/2019,04/30/2019,04/04/2019 10:43:04,Synopsis 7
MDA-2020-STEM-0001,Boosting Engineering Science and Technology (BEST) Robotics Grant: Kits 2020,DOD-MDA,Missile Defense Agency,45000,,"Andrea Mitchell
Contract Specialist
Phone 256-450-1375",,andrea.mitchell@mda.mil,,,03/16/2020,05/31/2020,05/07/2020 9:14:07,Synopsis 2
MDA-2017-DACV-STEM-0002,"Missile Defense Agency (MDA) Science, Technology, Engineering & Mathematics (STEM) Boosting Engineering Science & Technology (BEST) Robotics Grant: Higher Education Agency (HEA) Local Hub Teacher Professional Development (LHTPD) 2017",DOD-MDA,Missile Defense Agency,160000,,"Mitchell Shelton
Contract Specialist
Phone 256-450-4680",,mitchell.shelton@mda.mil,,,05/03/2017,06/30/2017,05/18/2017 12:29:18,Synopsis 3
MDA-2013-DACV-STEM-0001,Missile Defense Agency STEM Outreach B.E.S.T. Robotics Grant,DOD,Department of Defense,,,"Michael  Eagan
Contract Specialist
Phone 256-450-4689",,michael.eagan@mda.mil,,,12/04/2012,01/18/2013,12/04/2012 13:23:04,Synopsis 1
DARPA-BAA-12-39,DARPA Robotics Challenge,DOD-DARPA-TTO,DARPA - Tactical Technology Office,,,"DARPA/TTO
ATTN: BAA 12-39
3701 North Fairfax Drive
Arlington, VA 22203-1714",,DARPA-BAA-12-39@darpa.mil,,,04/10/2012,05/31/2012,04/10/2012 9:21:10,Synopsis 1
