pmid	title	journal
32634855	Clinical observations in the very elderly patients with COVID-19 in Wuhan.	Geriatr Gerontol Int
32634849	Clusters of COVID-19 in long-term care hospitals and facilities - Japan, Jan 15-May 9, 2020.	Geriatr Gerontol Int
32634830	Distinct clinical characteristics and risk factors for mortality in female COVID-19 inpatients: a sex-stratified large-scale cohort study in Wuhan, China.	Clin Infect Dis
32634828	Statewide Interventions and Covid-19 Mortality in the United States: An Observational Study.	Clin Infect Dis
32634827	Association between male sex and outcomes of Coronavirus Disease 2019 (Covid-19) - a Danish nationwide, register-based study.	Clin Infect Dis
32634826	Investigating SARS-CoV-2 surface and air contamination in an acute healthcare setting during the peak of the COVID-19 pandemic in London.	Clin Infect Dis
32634823	Optimising benefits of testing key workers for infection with SARS-CoV-2: A mathematical modelling analysis.	Clin Infect Dis
32634822	Development and delivery of a real-time hospital-onset COVID-19 surveillance system using network analysis.	Clin Infect Dis
32634819	European consensus recommendations for neonatal and paediatric retrievals of positive or suspected COVID-19 patients.	Pediatr Res
32634818	COVID-19 PICU guidelines: for high- and limited-resource settings.	Pediatr Res
32634813	COVID-19 and Stroke: Casual or Causal Role?	Cerebrovasc Dis
32634799	The Impact of the COVID-19 Pandemic and the Associated Belgian Governmental Measures on Cancer Screening, Surgical Pathology and Cytopathology.	Pathobiology
32634777	Interventions for Financial Toxicity: More Crucial Than Ever in the Time of COVID-19.	J Natl Compr Canc Netw
32634735	Have the symptoms of patients with COVID-19 changed over time during hospitalization?	Med Hypotheses
32634734	Hypoxemia in COVID-19 patients: An hypothesis.	Med Hypotheses
32634733	Factors involved in low susceptibility to COVID-19: An adaptation of high altitude inhabitants.	Med Hypotheses
32634726	The impact of COVID-19 as a necessary evil on air pollution in India during the lockdown.	Environ Pollut
32634717	Application of Artificial Intelligence in COVID-19 drug repurposing.	Diabetes Metab Syndr
32634716	Coronavirus disease (COVID-19): A systematic review and meta-analysis to evaluate the impact of various comorbidities on serious events.	Diabetes Metab Syndr
32634711	An evolving problem-Mental health symptoms among health care workers during COVID-19 pandemic.	Asian J Psychiatr
32634708	Psychological trauma among the healthcare professionals dealing with COVID-19.	Asian J Psychiatr
32634699	COVID-19 and generalized Myasthenia Gravis exacerbation: A case report.	Clin Neurol Neurosurg
32634686	Impact of city lockdown on the air quality of COVID-19-hit of Wuhan city.	Sci Total Environ
32634603	COVID-19 Treatment: Close to a Cure? - A Rapid Review of Pharmacotherapies for the Novel Coronavirus.	Int J Antimicrob Agents
32634602	Corticosteroid therapy for patients with CoVID-19 pneumonia: a before-after study.	Int J Antimicrob Agents
32634589	Potential effective treatment for COVID-19: systematic review and meta-analysis of the severe infectious disease with convalescent plasma therapy.	Int J Infect Dis
32634588	Estimation of the probable outbreak size of novel coronavirus (COVID-19) in social gathering events and industrial activities.	Int J Infect Dis
32634587	Covid-19 exposure risk for family members of healthcare workers: an observational study.	Int J Infect Dis
32634585	Dynamic changes of peripheral blood lymphocytes subsets in adult patients with COVID-19.	Int J Infect Dis
32634584	Spatiotemporal pattern of COVID-19 and government response in South Korea (as of May 31, 2020).	Int J Infect Dis
32634550	Aptamers, the bivalent agents as probes and therapies for coronavirus infections: A systematic review.	Mol Cell Probes
32634547	"Reply to ""Liver tests abnormalities in COVID-19: trick or treat?"""	J Hepatol
32634536	COVID-19 Infection: Strategies on When to Discontinue Isolation, a retrospective study.	Am J Infect Control
32634475	Proposed algorithm for return to sports in competitive athletes who have suffered COVID-19.	Hellenic J Cardiol
32634459	A Comparison of Mortality-related Risk Factors of COVID-19, SARS, and MERS: A Systematic Review and Meta-analysis.	J Infect
32634438	Update on therapeutic approaches and emerging therapies for SARS-CoV-2 virus.	Eur J Pharmacol
32634405	Household Transmission of SARS-CoV-2 from Adults to Children.	J Pediatr
32634378	Digitalized Adaptation of Oncology Trials during and after COVID-19.	Cancer Cell
32634358	Tackling Social Determinants Of Health Around The Globe.	Health Aff (Millwood)
32634351	Funders Support Mental Health Care: COVID-19 And Before.	Health Aff (Millwood)
32634347	Community Workers Lend Human Connection To COVID-19 Response.	Health Aff (Millwood)
32634345	Supraglotic Devices in Children during the COVID-19 Pandemic.	Surg Infect (Larchmt)
32634321	An 'alarming' and 'exceptionally high' rate of COVID-19 retractions?	Account Res
32634229	Laboratory Assay Evaluation Demystified: A Review of Key Factors Influencing Interpretation of Test Results Using Different Assays for SARS-CoV-2 Infection Diagnosis.	Lab Med
32634228	Travel-related fever in the time of COVID-19 travel restrictions.	J Travel Med
32634217	Centralized medical quarantine for imported COVID-19 in Shanghai, China.	J Travel Med
32634211	Impact of COVID-19 on Tourism in Nepal.	J Travel Med
32634129	Kinetics of viral load and antibody response in relation to COVID-19 severity.	J Clin Invest
32634126	SARS-CoV-2 viral load and antibody responses: the case for convalescent plasma therapy.	J Clin Invest
32634111	Impact of COVID-19 on gaming disorder: Monitoring and prevention.	J Behav Addict
32634107	The Present and Future Applications of Technology in Adapting Medical Education Amidst the COVID-19 Pandemic.	JMIR Med Educ
32634105	Pediatric mental and behavioral health in the period of quarantine and social distancing (COVID-19).	JMIR Pediatr Parent
32634080	Repurposing Drugs for the Management of Patients with Confirmed Coronavirus Disease 2019 (COVID-19).	Curr Pharm Des
32634079	The role of Chloroquine and Hydroxychloroquine in Immune Regulation and Diseases.	Curr Pharm Des
32634067	Scientia Potentia Est: How the Italian World of Oncology Changes in the COVID-19 Pandemic.	JCO Glob Oncol
32634058	Has Venoarterial ECMO Been Underutilized in COVID-19 Patients?	Innovations (Phila)
32634041	A Review on 2019 Novel Coronavirus Pneumonia in Ophthalmology.	Ocul Immunol Inflamm
32634029	IMPACT-Scot report on COVID-19 and hip fractures.	Bone Joint J
32634026	COVID-19 Clinical Trials: Unravelling a Methodological Gordian Knot.	Am J Respir Crit Care Med
32634024	How to Quantify and Interpret Treatment Effects in Comparative Clinical Studies of COVID-19.	Ann Intern Med
32634023	The effects of COVID-19 on perioperative morbidity and mortality in patients with hip fractures.	Bone Joint J
32634005	Why communities must be at the centre of the Coronavirus disease 2019 response: Lessons from Ebola and human immunodeficiency virus in Africa.	Afr J Prim Health Care Fam Med
32634004	The role of the family physician in the fight against Coronavirus disease 2019 in Nigeria.	Afr J Prim Health Care Fam Med
32634003	Spiritual care - 'A deeper immunity' - A response to Covid-19 pandemic.	Afr J Prim Health Care Fam Med
32634002	The evolving role of family physicians during the coronavirus disease 2019 crisis: An appreciative reflection.	Afr J Prim Health Care Fam Med
32634001	Addendum: Primary care management of the coronavirus (COVID-19).	S Afr Fam Pract (2004)
32633997	Novel coronavirus pandemic: A clinical overview.	S Afr Fam Pract (2004)
32633929	Aerosol Box 2.0: Adjustments and Improvements Made in Mexico for Intubating Patients During the Coronavirus Disease 2019 Pandemic.	A A Pract
32633887	Cancer has not gone away: A primary care perspective to support a balanced approach for timely cancer diagnosis during COVID-19.	Eur J Cancer Care (Engl)
32633877	COVID-19 pandemic: A challenge to a child with cancer.	Pediatr Blood Cancer
32633869	"The ""scar"" of a pandemic: cumulative incidence of COVID-19 during the first trimester of pregnancy."	J Med Virol
32633865	A Retrospective Review of Memantine Use and COVID-19-associated Mortality from a National Database.	J Med Virol
32633863	Fecal-Oral Transmission of COVID-19: Could Hypochlorhydria Play a Role?	J Med Virol
32633860	Safety of Plasma Infusions in Parkinson's Disease.	Mov Disord
32633856	Signs and symptoms to determine if a patient presenting in primary care or hospital outpatient settings has COVID-19 disease.	Cochrane Database Syst Rev
32633849	COVID-19 and HIV co-infection an emerging consensus.	J Med Virol
32633846	HIV and SARS CoV-2 co-infection: A retrospective, record based, case series from South India.	J Med Virol
32633842	Serum KL-6 can distinguish between different phenotypes of severe COVID-19.	J Med Virol
32633840	The variability of the serological response to SARS corona virus-2: Potential resolution of ambiguity through determination of avidity (functional affinity).	J Med Virol
32633831	RNA-dependent RNA Polymerase of SARS-CoV-2 as a Therapeutic Target.	J Med Virol
32633829	Co-infection, co-epidemics of Covid-19 and Dengue in dengue endemic countries: a serious health concern.	J Med Virol
32633819	Heart Transplantation in the Era of the SARS-CoV-2 Pandemic: Is It Safe and Feasible?	Clin Transplant
32633816	Rethinking the Importance of the Individual within a Community of Data.	Hastings Cent Rep
32633815	An update on origin of SARS-CoV-2: Despite closest identity, bat (RaTG13) and Pangolin derived Coronaviruses varied in the critical binding site and O-linked glycan residues.	J Med Virol
32633809	[The virtual ward - the students' clinical education during the current pandemic].	Lakartidningen
32633777	The COVID-19 Pandemic and Its Impact on Dentistry.	Anesth Prog
32633770	Infection Control in Dental Anesthesiology: A Time for Preliminary Reconsideration of Current Practices.	Anesth Prog
32633754	Restructuring of a General Surgery Residency Program in an Epicenter of the Coronavirus Disease 2019 Pandemic: Lessons From New York City.	JAMA Surg
32633733	Interaction of hydroxychloroquine with SARS-CoV2 functional proteins using all-atoms non-equilibrium alchemical simulations.	Chem Commun (Camb)
32633729	Lactate dehydrogenase, an independent risk factor of severe COVID-19 patients: a retrospective and observational study.	Aging (Albany NY)
32633728	Pathophysiology of SARS-CoV-2 infection in patients with intracerebral hemorrhage.	Aging (Albany NY)
32633720	Augmented curation of clinical notes from a massive EHR system reveals symptoms of impending COVID-19 diagnosis.	Elife
32633718	A mechanistic model and therapeutic interventions for COVID-19 involving a RAS-mediated bradykinin storm.	Elife
32633713	Coronavirus Disease Exposure and Spread from Nightclubs, South Korea.	Emerg Infect Dis
32633712	Retrospective Description of Pregnant Women Infected with Severe Acute Respiratory Syndrome Coronavirus 2, France.	Emerg Infect Dis
32633678	Review of the Chest CT Differential Diagnosis of Ground-Glass Opacities in the COVID Era.	Radiology
32633654	"COVID-19 Pandemic and Head and Neck Surgery Residency Program: Proposals for the ""Phase 2""."	Ear Nose Throat J
32633633	COVID-19 neuropsychological factors and considerations within the acute physical medicine and rehabilitation setting.	Brain Inj
32633628	A call for a gender-responsive, intersectional approach to address COVID-19.	Glob Public Health
32633594	Could anti-hypertensive drug therapy affect the clinical prognosis of hypertensive patients with COVID-19 infection? Data from centers of southern Italy.	J Am Heart Assoc
32633583	"COVID-19 and ""natural"" experiments arising from physical distancing: a hypothetical case study from chronobiology."	Chronobiol Int
32633581	Encephalomyelitis associated with Covid-19 infection: case report.	Br J Neurosurg
32633555	Iranian Emotional Experience and Expression During the COVID-19 Crisis.	Asia Pac J Public Health
32633553	Young Children Presenting With Fever and Rash in the Midst of SARS-CoV-2 Outbreak in New York.	Clin Pediatr (Phila)
32633537	COVID-19 in Nepal: Lower Than Expected Incidence and Mortality.	Asia Pac J Public Health
32633464	Risk, resilience, psychological distress, and anxiety at the beginning of the COVID-19 pandemic in Germany.	Brain Behav
32633450	At home dose escalation of Propranolol for Infantile Hemangiomas during the COVID-19 Pandemic.	Dermatol Ther
32633439	SARS-CoV-2 infection in a neutropenic pediatric patient with leukemia: Addressing the need for universal guidelines for treatment of SARS-CoV-2-positive, immunocompromised patients.	Pediatr Blood Cancer
