Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost,FY Total Cost  (Sub Projects)
Conserved Fetal Epigenomic and Metagenomic Signatures in a Primate Model of Maternal Obesity,NIDDK,9743790,5R01DK089201-08,5,R01,DK,89201,8,,,8196581,"AAGAARD, KJERSTI MARIE",Not Applicable,BAYLOR COLLEGE OF MEDICINE,,2019,653159,
Modeling multi-area dynamics during motor control,NINDS,9775478,5U19NS104649-03,5,U19,NS,104649,3,,8273,2201944,"ABBOTT, LAURENCE F.",Not Applicable,COLUMBIA UNIVERSITY HEALTH SCIENCES,,2019,,326381
Automatic Control of Propanidid and Propofol Anesthesia-Induced Unconsciousness,NIA,9836000,1F32AG064886-01,1,F32,AG,64886,1,,,12387444,"ABEL, JOHN HANS",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL,,2019,63926,
Measuring post-arrest neurologic injury via nanofluidic assay of brain-derived exosomal RNA,NINDS,9824489,1R21NS109763-01A1,1,R21,NS,109763,1,A1,,1885303,"ABELLA, BENJAMIN S",Not Applicable,UNIVERSITY OF PENNSYLVANIA,,2019,442750,
KINEMATIC AND CELLULAR STUDIES OF MOTOR CONTROL,NINDS,3078113,5K07NS000747-05,5,K07,NS,747,5,,,2080087,"ABEND, WILLIAM K",Not Applicable,CHILDREN'S HOSPITAL BOSTON,,1986,56858,
KINEMATIC AND CELLULAR STUDIES OF MOTOR CONTROL,NINDS,3078112,5K07NS000747-04,5,K07,NS,747,4,,,2080087,"ABEND, WILLIAM K",Not Applicable,CHILDREN'S HOSPITAL BOSTON,,1985,56592,
A new mechanistic and technological framework for uncovering the spinal cord neural systems important for functional recovery after injury,NINDS,9953321,1K01NS116224-01,1,K01,NS,116224,1,,,10438710,"ABRAIRA, VICTORIA EUGENIA",Not Applicable,"RUTGERS, THE STATE UNIV OF N.J.",,2020,245164,
SCH: INT: Collaborative Research: Development and analysis of new mathematical and statistical models for chronic pain,NCCIH,9784736,5R01AT010413-02,5,R01,AT,10413,2,,,12383141,"ABRAMS, DANIEL M ","BANERJEE, TANVI ;SHAH, NIRMISH R",NORTHWESTERN UNIVERSITY,,2019,288299,
ENHANCING WORKSITE CANCER PREVENTION THROUGH THE HOME,NCI,5207587,5P01CA050087-08,5,P01,CA,50087,8,,2,3223072,"ABRAMS, DAVID B",Not Applicable,,,1996,,
CORE--INTERVENTION TECHNOLOGY,NCI,5207592,5P01CA050087-08,5,P01,CA,50087,8,,9002,3223072,"ABRAMS, DAVID B",Not Applicable,,,1996,,
