,Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost,FY Total Cost  (Sub Projects)
0,Mechanisms of synaptic and behavioral dysfunction after postnatal anesthesia,NIGMS,9736720,5K08GM123321-03,5,K08,GM,123321,3,,,12043546,"LUNARDI, NADIA ",Not Applicable,UNIVERSITY OF VIRGINIA,,2019,188508,Conserved Fetal Epigenomic and Metagenomic Signatures in a Primate Model of Maternal Obesity
1,Mechanisms of synaptic and behavioral dysfunction after postnatal anesthesia,NIGMS,9533664,5K08GM123321-02,5,K08,GM,123321,2,,,12043546,"LUNARDI, NADIA ",Not Applicable,UNIVERSITY OF VIRGINIA,,2018,189050,Modeling multi-area dynamics during motor control
2,Deep Learning for Pulmonary Embolism Imaging Decision Support: A Multi-institutional Collaboration,NLM,9926311,5R01LM012966-03,5,R01,LM,12966,3,,,12263422,"LUNGREN, MATTHEW ",Not Applicable,STANFORD UNIVERSITY,,2020,348620,Automatic Control of Propanidid and Propofol Anesthesia-Induced Unconsciousness
3,Measuring post-arrest neurologic injury via nanofluidic assay of brain-derived exosomal RNA,NINDS,9824489,1R21NS109763-01A1,1,R21,NS,109763,1,A1,,1885303,"ABELLA, BENJAMIN S",Not Applicable,UNIVERSITY OF PENNSYLVANIA,,2019,442750,
4,Deep Learning for Pulmonary Embolism Imaging Decision Support: A Multi-institutional Collaboration,NLM,9782996,5R01LM012966-02,5,R01,LM,12966,2,,,12263422,"LUNGREN, MATTHEW ",Not Applicable,STANFORD UNIVERSITY,,2019,348107,KINEMATIC AND CELLULAR STUDIES OF MOTOR CONTROL
5,Deep Learning for Pulmonary Embolism Imaging Decision Support: A Multi-institutional Collaboration,NLM,9640372,1R01LM012966-01,1,R01,LM,12966,1,,,12263422,"LUNGREN, MATTHEW ",Not Applicable,STANFORD UNIVERSITY,,2018,KINEMATIC AND CELLULAR STUDIES OF MOTOR CONTROL,NINDS
6,A new mechanistic and technological framework for uncovering the spinal cord neural systems important for functional recovery after injury,NINDS,9953321,1K01NS116224-01,1,K01,NS,116224,1,,,10438710,"ABRAIRA, VICTORIA EUGENIA",Not Applicable,"RUTGERS, THE STATE UNIV OF N.J.",,2020,245164,
7,SCH: INT: Collaborative Research: Development and analysis of new mathematical and statistical models for chronic pain,NCCIH,9784736,5R01AT010413-02,5,R01,AT,10413,2,,,12383141,"ABRAMS, DANIEL M ","BANERJEE, TANVI ;SHAH, NIRMISH R",NORTHWESTERN UNIVERSITY,,2019,288299,
8,792540,ENHANCING WORKSITE CANCER PREVENTION THROUGH THE HOME,NCI,5207587,5P01CA050087-08,5,P01,CA,50087,8,,2,3223072,"ABRAMS, DAVID B",Not Applicable,,,1996,
9,,,,,,,,,,,,,,,,,,,
10,Using Computational Approaches to Optimize Asthma Care Management,NHLBI,9750788,5R01HL142503-02,5,R01,HL,142503,2,,,11563031,"LUO, GANG ",Not Applicable,UNIVERSITY OF WASHINGTON,,2019,807787,ENHANCING WORKSITE CANCER PREVENTION THROUGH THE HOME
