NIH Spending Categorization,Project Terms,Project Title,Public Health Relevance,Administering  IC,Application ID,Award Notice Date,FOA,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Program Official Information,Project Start Date,Project End Date,Study Section,Subproject Number,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Congressional District,Department,DUNS Number,FIPS,Latitude,Longitude,Organization ID (IPF),Organization Name,Organization City,Organization State,Organization Type,Organization Zip,Organization Country,ARRA Indicator,Budget Start Date,Budget End Date,CFDA Code,Funding Mechanism,FY,Funding IC,FY Direct Costs,FY Indirect Costs,FY Total Cost by IC,FY Total Cost (Sub Projects)
Assistive Technology;Bioengineering;Biomedical Imaging;Neurosciences;Rehabilitation,Acoustic Stimulation;Acoustic Trauma;Algorithms;American;Area;Auditory Brainstem Responses;authority;base;Basilar Membrane;Brain;Cadaver;Cavia;Clinical;Cochlea;Cochlear Implants;Communication;Devices;Distal;Effectiveness;Electrodes;Ensure;Equilibrium;Excision;experimental study;Frequencies;Future;Goals;Head;Hearing;hearing impairment;Hearing Tests;Heating;Histology;Human;Impairment;Implant;improved;in vivo;Individual;interest;Intervention;Knowledge;Location;magnetic field;Magnetism;Manuals;Measures;Methods;microCT;Mission;Modeling;MRI Scans;National Institute on Deafness and Other Communication Disorders;Nerve;Operative Surgical Procedures;Patients;Process;public health relevance;Research Personnel;Research Priority;Residual state;Robotics;round window;Rupture;Safety;Scala Tympani;Sensorineural Hearing Loss;Sensory;sound;Strategic Planning;Structure;System;Technology;Temporal bone structure;Testing;Time;Trauma;vibration;Work;X-Ray Computed Tomography;,Magnetic Guidance for Improved Cochlear-Implant Insertion,PUBLIC HEALTH RELEVANCE:  Approximately 25 million Americans suffer from sensorineural hearing loss; which is a condition in which the cochlea is unable to convert sound into nerve impulses to the brain.  A cochlear implant can be surgically inserted into the cochlea to electrically stimulate the nerves responsible for hearing; but trauma resulting from the surgica insertion can result in decreased implant effectiveness and loss of residual hearing.  The goal of this project is to demonstrate that magnetic guidance of cochlear implants during surgical insertion will reduce trauma compared to traditional manual insertion.,NIDCD,9530617,27-Jul-2018,PA-13-302,5R01DC013168-05,5,R01,DC,13168,5,,"MILLER, ROGER",1-Aug-2014,31-Jul-2021,"Bioengineering of Neuroscience, Vision and Low Vision Technologies Study Section (BNVT) ",,10196795,"ABBOTT, JAKE ",Not Applicable,2,ENGINEERING (ALL TYPES),9095365,US,40.76776,-111.832926,514002,UNIVERSITY OF UTAH,SALT LAKE CITY,UT,SCHOOLS OF ENGINEERING,84112-8930,UNITED STATES,,1-Aug-2018,31-Jul-2021,173,Research Projects,2018,NIDCD,291051,80665,371716,
Bioengineering;Clinical Research;Health Services;Machine Learning and Artificial Intelligence;Patient Safety,Address;Adherence;Adverse event;American;Artificial Intelligence;base;care coordination;care outcomes;care providers;care systems;Cellular Phone;Cessation of life;Chronic;Client;Client satisfaction;Clinical Research;Clinical Trials;cohort;commercialization;Communication;Communities;Community Pharmacy;Complex;cost;Custom;Data;Data Collection;data sharing;design;Detection;Doctor of Pharmacy;Dose;Drug Packaging;education research;Face;Goals;Gold;Health;Healthcare;Hospitalization;improved;Industry Standard;innovation;instrument;instrumentation;Insurance Carriers;Knowledge;Lead;Long-Term Care for Elderly;Machine Learning;Medical;Medical Education;medication compliance;Medication Errors;Medication Management;medication nonadherence;Medicine;Notification;Outcome;Pain;Patient Care;Patient Education;Patient Self-Report;Patients;Pattern;payment;Personal Satisfaction;Pharmaceutical Preparations;Pharmacists;Pharmacy facility;Phase;pill;Pilot Projects;point of care;Polypharmacy;Population Characteristics;prototype;Provider;Regimen;Regulation;Research;Research Design;Risk;Robot;Robotics;sensor;Services;side effect;Small Business Innovation Research Grant;smartphone Application;Source;standard measure;System;Technology;Testing;Time;Treatment Cost;Treatment Failure;trend;Work;,Personalized multimedication packaging with integrated real-time instrumentation to improve adherence,NarrativeApproximately 23% of Americans take 3 or more prescription medications; often as a part of complex drugregimens that challenge adherence; contributing to treatment failures and costing US healthcare billions ofdollars. Difficulties managing polypharmacy negatively impact all stakeholders ? patients; doctors; pharmaciesand insurers. Insightfil is developing a comprehensive medication management solution that incorporatesconvenience packaging with passive detection of medication adherence to provide essential and medicine-related information in real-time generating a channel for more accurate information exchange between allstakeholders for improved patient care and satisfaction.,NCATS,9846816,19-Aug-2019,PA-18-574,1R43TR003071-01,1,R43,TR,3071,1,,"PARISER, ANNE RUGGLES",19-Aug-2019,31-Jul-2021,Special Emphasis Panel (ZRG1-RPHB-Z (10)B),,11315234,"ACWORTH, EDWARD ",Not Applicable,8,Unavailable,116641766,US,,,10053483,INSIGHTFIL,BOSTON,MA,Domestic For-Profits,02210-2313,UNITED STATES,,19-Aug-2019,31-Jul-2021,350,SBIR-STTR,2019,NCATS,,,225000,
No NIH Category available.,Acute;acute care;Affect;Algorithms;Animals;arm;Articular Range of Motion;base;Behavioral;Biological Assay;Biological Markers;Brain;Chronic Phase;Clinical;Complex;Consensus;constraint induced movement therapy;Data;design;Development;dosage;Dose;Early Intervention;Elements;experience;Financial compensation;finger movement;Fingers;functional gain;functional outcomes;Funding;Future;grasp;Hand;Hand functions;hand rehabilitation;hand therapy;haptic feedback;haptics;hemiparesis;Hospitals;Hour;Human;Impairment;improved;Individual;Inpatients;Intervention;Investigation;kinematics;Kinetics;Knowledge;Legal patent;Length of Stay;Lesion;Limb structure;Literature;Maps;Measures;Modification;Motion;Motor;motor control;Motor Evoked Potentials;motor impairment;motor recovery;Motor Skills;Movement;Muscle;neglect;Neuronal Plasticity;neurophysiology;Outcome;outcome forecast;outcome prediction;Outcome Study;Outpatients;Patients;Pattern;Performance;Phase;post stroke;Process;Randomized;Recovery;Recovery of Function;Rehabilitation therapy;Robot;robotic training;Robotics;Service delivery model;Severities;Stroke;stroke intervention;stroke rehabilitation;Structure;System;Testing;Therapeutic;Time;Training;Translating;treatment as usual;United States;Upper Extremity;Variant;virtual environment;virtual reality;virtual reality simulation;visual feedback;Work;,Optimizing Hand Rehabilitation Post-Stroke Using Interactive Virtual Environments,Project NarrativeA growing body of work suggests that there is a time-limited period of post-ischemic heightened neuronalplasticity during which intensive training may optimally affect the recovery of gross motor skills; indicating thatthe timing of rehabilitation is as important as the dosing. Currently there is little known about the effect ofintensive; progressive training in the acute early period (5-30 days) post-stroke. Our system has beenspecifically designed to deliver hand training during this period; when motion and strength are limited. Thesystem uses adaptive algorithms to drive individual finger movement; gain adaptation and workspacemodification to improve finger coordination and range of motion; and haptic and visual feedback from mirroredmovements to reinforce sensorimotor networks in the lesioned hemisphere.,NICHD,9951071,15-Jun-2020,PA-16-160,5R01HD058301-08,5,R01,HD,58301,8,,"CRUZ, THERESA",5-Mar-2009,31-May-2022,Musculoskeletal Rehabilitation Sciences Study Section (MRS) ,,6880279,"ADAMOVICH, SERGEI V ","BARRETT, A. M.;MERIANS, ALMA S;TUNIK, EUGENE ",10,BIOMEDICAL ENGINEERING,75162990,US,40.735794,-74.17359,6004001,NEW JERSEY INSTITUTE OF TECHNOLOGY,NEWARK,NJ,SCHOOLS OF ENGINEERING,07102-1982,UNITED STATES,,1-Jun-2020,31-May-2021,865,Research Projects,2020,NICHD,632239,57508,689747,
Biotechnology;Cancer;Urologic Diseases,Animal Model;base;BCG Live;Binding;Biological Assay;Bladder;burden of illness;Cancer cell line;cancer therapy;Carcinogens;Caspase;Cell Line;Cell Proliferation;Cells;Cessation of life;chemotherapy;Clinical Data;cytotoxicity;Data;Diagnosis;Disease;Dose;Drug usage;Encapsulated;Epithelial;experimental study;Explosion;Financial Hardship;flavopiridol;Formulation;Funding;gemcitabine;Health;Heat-Shock Proteins 90;high throughput screening;Histone Deacetylase Inhibitor;Immunohistochemistry;In Vitro;in vivo;inhibitor/antagonist;intravesical;Intravesical Administration;Malignant neoplasm of prostate;Malignant neoplasm of urinary bladder;Malignant Neoplasms;material transfer agreement;men;Mesenchymal;mimetics;Mitomycins;Modeling;Muscle;muscle invasive bladder cancer;nanoparticle;non-muscle invasive bladder cancer;novel;novel therapeutics;oncology;Operative Surgical Procedures;Patients;Pharmacotherapy;pre-clinical;Prevalence;prevent;Publications;Rattus;Recurrent disease;Renal carcinoma;response;Robotics;screening;Secure;SN-38;subcutaneous;targeted agent;Topoisomerase-I Inhibitor;Topotecan;tumor;United States;Urologic Cancer;Water;Woman;,High Throughput Screening of Agents in Bladder Cancer Cell Lines,n/a,NCI,10015073,,,1ZICBC011531-07,1,ZIC,CA,11531,7,,Unavailable,,,,,9849385,"AGARWAL, PIYUSH ",Not Applicable,n/a,Unavailable,,,,,,,,,Unavailable,,,,,,,Intramural Research,2019,NCI,,,96285,
No NIH Category available.,Adult;Appalachian Region;Area;burden of illness;Cardiac;Cardiac Surgery procedures;Cardiology;Cardiovascular Diseases;Cardiovascular system;Caring;Clinical;clinical care;clinical center;clinical development;clinical implementation;Clinical Research;Clinical Skills;clinical trial enrollment;Clinical Trials;Clinical Trials Network;Collaborations;Communities;cost effective;design;Development;dissemination research;Educational process of instructing;Enrollment;Ensure;experience;Funding;Future;General Population;Goals;Health;health disparity;Healthcare;Heart failure;imager;implementation research;implementation science;improved;Industry;Infrastructure;innovation;Institutes;Institution;interest;Investigation;Investments;Journals;Leadership;Link;medical specialties;Medicine;Mentors;Mission;Modeling;National Institute of Neurological Disorders and Stroke;Neurologist;Neurology;next generation;notch protein;novel;novel strategies;Operative Surgical Procedures;Outcome;patient population;Patients;Population;Positioning Attribute;Procedures;Program Development;programs;Protocol Compliance;protocol development;Publications;Quality of Care;Recording of previous events;Records;recruit;Research;Research Infrastructure;Research Personnel;Research Subject Recruitments;Resources;Rest;Robotics;Role;Rural;rural underserved;Services;Site;skill acquisition;skills;Societies;socioeconomics;success;Surgeon;Textiles;Thoracic Surgical Procedures;Training Programs;Training Support;Translational Research;Translations;Travel;trial design;Underserved Population;Universities;Virginia;West Virginia;,Cardiothoracic Surgical Trials Network Linked Clinical Research Centers for Virginia and West Virginia,Project NarrativeThe University of Virginia (UVA) and West Virginia University (WVU) are partnering to form a Linked ClinicalResearch Center to conduct heart and vascular clinical research trials with the goal of serving the vulnerableAppalachian community. This partnership has been designed to increase the capability of WVU to conductclinical research trials using UVA?s excellent experience in heart and vascular research. Partnering these twouniversities will provide excellent teaching and support for trainees at both sites who are interested in workingin the field of clinical research. The end result of this research will be improved health care to people in theunderserved Appalachian community and the general population. Investigators at each institution arecommitted to the success of the network both in trial enrollment and in leadership roles.,NHLBI,9899287,2-Mar-2020,RFA-HL-19-009,5UM1HL088925-13,5,UM1,HL,88925,13,,"MILLER, MARISSA A",1-Jul-2007,28-Feb-2026,Special Emphasis Panel (ZHL1-CSR-A (F1)),,9776548,"AILAWADI, GORAV  ","BADHWAR, VINAY ",5,SURGERY,65391526,US,38.034207,-78.512346,1526402,UNIVERSITY OF VIRGINIA,CHARLOTTESVILLE,VA,SCHOOLS OF MEDICINE,22904-4195,UNITED STATES,,1-Mar-2020,28-Feb-2021,837,Research Projects,2020,NHLBI,434063,157099,591162,
Bioengineering;Cancer;Machine Learning and Artificial Intelligence;Networking and Information Technology R&D (NITRD),Address;Antibodies;Antigens;Artificial Intelligence;B-Lymphocytes;base;Biochemical;biochemical model;Biological;Biology;Bone Marrow;Bypass;CD8B1 gene;Cell model;Cells;Clinical;Clinical Investigator;Collaborations;combinatorial;Communication;computer program;Computer Simulation;Custom;cytokine;Cytokine Signaling;Cytometry;Data;Differential Equation;digital;Discrimination;disease classification;Distal;Down-Regulation;Feedback;Flow Cytometry;Fluorescence;Goals;Heterogeneity;Human;Immune;Immune response;Immune system;Immunological Models;Individual;inhibitor/antagonist;Interleukin-2;Interleukin-7;Kinetics;Lead;Leukocytes;Ligands;Lupus;Lymphocyte;Machine Learning;Malignant Neoplasms;MEKs;melanoma;Memory;Methodology;Methods;Modeling;Monitor;Mus;Names;Nature;neutrophil;Outcome;Peripheral Blood Mononuclear Cell;Pharmaceutical Preparations;Phase;phenomenological models;Phenotype;Phosphoric Monoester Hydrolases;Phosphotransferases;Physiologic pulse;Population;pre-clinical;profiles in patients;Proliferating;Proteins;Provider;PTPN6 gene;Reagent;receptor;Regulation;response;Robotics;Sampling;Science;Sensitivity and Specificity;Signal Transduction;single cell analysis;small molecule inhibitor;Sorting - Cell Movement;Specificity;Speed;System;T-Cell Activation;T-Lymphocyte;Testing;Theoretical model;Therapeutic;Time;tissue culture;tool;transcription factor;tumor;United States National Institutes of Health;Vaccines;Validation;,Phenotypic variability within isogenic population of lymphocytes,n/a,NCI,10014789,,,1ZIABC011726-04,1,ZIA,CA,11726,4,,Unavailable,,,,,15201697,"ALTAN-BONNET, GREGOIRE ",Not Applicable,n/a,Unavailable,,,,,,,,,Unavailable,,,,,,,Intramural Research,2019,NCI,,,115681,
No NIH Category available.,Address;Algorithm Design;algorithm training;Algorithms;Amyotrophic Lateral Sclerosis;Anterior;Area;Behavior;Bilateral;Brain;brain machine interface;clinical application;clinically relevant;Code;Cognitive;Complement;Complex;Computers;Data;design;Devices;Digit structure;disability;experimental study;Eye;finger movement;Fingers;Foundations;frontal lobe;Future;gaze;Goals;Grant;Human;Implant;improved;Individual;Intention;Laboratories;Light;limb amputation;Limb structure;Location;Measures;Motor;Motor Cortex;Movement;Multiple Sclerosis;neural implant;neural prosthesis;Neurodegenerative Disorders;Neurons;neuroprosthesis;neurotransmission;next generation;nonhuman primate;novel;Paralysed;Parietal Lobe;patient population;Patients;Performance;Peripheral Nervous System Diseases;Population;Positioning Attribute;Procedures;Property;Prosthesis;prosthesis control;public health relevance;Quadriplegia;relating to nervous system;Research;response;Robotics;Seminal;Signal Transduction;Site;Source;Spinal cord injury;Spinal Cord Lesions;Stroke;Tablet Computer;Techniques;Testing;Time;Time Study;Training;Traumatic Brain Injury;United States;,Cognitive neural prosthetics for clinical applications,PUBLIC HEALTH RELEVANCE: Studies are proposed to examine the similarities and differences of control signals derived from M1 and PPC for neuroprosthetics. These studies will for the first time study many of the properties of intended movement signals in these two areas including the representation of goals in M1; the coordinate frames in which intentions are encoded; and the combining and sequencing of digit movements. The findings will provide a foundation for improved algorithms and designs of neural prosthetics to assist paralyzed patients.,NEI,9900009,18-Mar-2020,PA-13-302,5R01EY015545-15,5,R01,EY,15545,15,,"FLANDERS, MARTHA C",1-Apr-2004,31-Mar-2021,Sensorimotor Integration Study Section (SMI) ,,6252531,"ANDERSEN, RICHARD A",Not Applicable,27,NONE,9584210,US,34.134337,-118.126525,1073501,CALIFORNIA INSTITUTE OF TECHNOLOGY,PASADENA,CA,SCHOOLS OF ARTS AND SCIENCES,91125-0001,UNITED STATES,,1-Apr-2020,31-Mar-2021,867,Research Projects,2020,NEI,491686,168407,660093,
Assistive Technology;Basic Behavioral and Social Science;Behavioral and Social Science;Bioengineering;Clinical Research;Clinical Trials and Supportive Activities;Injury (total) Accidents/Adverse Effects;Injury - Trauma - (Head and Spine);Neurodegenerative;Neurosciences;Rehabilitation;Spinal Cord Injury,Activities of Daily Living;Advanced Development;Algorithms;Anterior;Area;base;Behavior;brain machine interface;Brodmann's area;Cerebral cortex;Clinical Trials;Cognitive;Cues;design;Detection;Development;disability;Discrimination;Esthesia;Feedback;finger movement;Frequencies;Future;Goals;grasp;Hand;Human;Implant;implantation;Institutional Review Boards;Learning;Limb structure;Location;Methods;microstimulation;mind control;Morphologic artifacts;Motor;Motor output;Movement;Movement Disorders;multi-electrode arrays;Neck;Neurodegenerative Disorders;Neurons;neuroprosthesis;neurotransmission;nonhuman primate;Paralysed;Parietal Lobe;Pathway interactions;Patients;Perception;Performance;performance tests;Positioning Attribute;Primates;Process;Property;Proprioception;Prosthesis;Quadriplegia;relating to nervous system;Reporting;robot control;Robotics;Scientific Advances and Accomplishments;Shapes;somatosensory;Somatosensory Cortex;somesthesis;Spinal cord injury;Spinal Cord Lesions;statistical center;Stimulus;Stroke;success;Tactile;Techniques;Testing;Time;User-Computer Interface;Vision;Visual;visual feedback;,Dexterous BMIs for tetraplegic humans utilizing somatosensory cortex stimulation,Project NarrativeTetraplegia is a particularly severe form of paralysis in which patients are paralyzed from the neck down.Tetraplegic patients lose partial or total function and sensation of all four limbs and are unable to perform eventhe most rudimentary activities of daily living on their own. According to the National Spinal Cord InjuryStatistical Center approximately 160;000 people in the USA are living with complete or partial tetraplegia as of2014. A majority of these patients still have sufficiently intact cortex to plan movements; but they are unable toexecute them. Thus they are candidates for assistance using cortical brain-machine interfaces. Moreover;these prosthetics have applicability beyond spinal cord lesion and can also help patients with motor disabilitiesfrom stroke and neurodegenerative diseases. Better understanding of the cortical grasp pathway (aim 1);providing somatosensory feedback with intracortical microstimulation (aim 2); and combining intracorticalstimulation feedback with brain control (aim 3) promise to greatly benefit patients.,NINDS,9548752,19-Sep-2018,RFA-NS-16-008,5U01NS098975-03,5,U01,NS,98975,3,,"GNADT, JAMES W",30-Sep-2016,31-Aug-2021,Special Emphasis Panel (ZNS1-SRB-T (11)),,6252531,"ANDERSEN, RICHARD A",Not Applicable,27,NONE,9584210,US,34.134337,-118.126525,1073501,CALIFORNIA INSTITUTE OF TECHNOLOGY,PASADENA,CA,SCHOOLS OF ARTS AND SCIENCES,91125-0001,UNITED STATES,,1-Sep-2018,31-Aug-2021,853,Research Projects,2018,NINDS,574653,176566,651365,
Biotechnology;Cancer;Genetics;Orphan Drug;Ovarian Cancer;Rare Diseases;Stem Cell Research;Stem Cell Research - Nonembryonic - Human;Women's Health,3-Dimensional;Accounting;Adoption;adult stem cell;Affect;anticancer research;Antineoplastic Agents;Automation;base;Basic Science;biobank;Biological Assay;Biological Models;cancer cell;Cancer Etiology;Cancer Patient;cancer type;Cell Culture Techniques;Cell Line;Cells;Cessation of life;chemotherapeutic agent;chemotherapy;Clinical;Clinical Research;clinical subtypes;clinically relevant;Colorectal Cancer;Communities;Cryopreservation;Dependence;Derivation procedure;design;Development;Disease;Drops;Drug resistance;Drug Screening;drug sensitivity;Ensure;Evolution;Excision;Exhibits;Experimental Models;experimental study;Formulation;Frequencies;Future;Generations;Genetic;genetic information;Genetic Transcription;Genomics;Genotype;Goals;Growth;Growth Factor;Heterogeneity;high throughput screening;Histologic;Histology;improved;In Vitro;in vivo;induced pluripotent stem cell;inhibitor/antagonist;Laboratory Research;Liquid substance;Maintenance;malignant breast neoplasm;Malignant neoplasm of ovary;Malignant Neoplasms;matrigel;Memorial Sloan-Kettering Cancer Center;Methods;Modeling;Molecular;Mutation;Neoplasm Metastasis;neoplastic cell;Operative Surgical Procedures;Organoids;Ovarian Carcinoma;ovarian neoplasm;pancreatic cancer patients;patient response;Patients;personalized medicine;Pharmaceutical Preparations;Pharmacology;Phenotype;Population;Pre-Clinical Model;preservation;Process;Protocols documentation;relapse patients;Research;response;Robotics;Sampling;standard of care;Standardization;Stem Cell Development;Stem cells;success;Survival Rate;Suspensions;Technology;Testing;Therapeutic;TimeLine;tissue culture;Tissues;Translating;Treatment Efficacy;Treatment outcome;tumor;tumor heterogeneity;Tumor-Derived;Woman;Work;,Establishing efficient technologies for ovarian cancer organoid derivation from fresh tumor resections,PROJECT NARRATIVEOvarian cancer is among the deadliest cancer types; and it is especially difficult to predict which treatmentswill work for which patients. This project aims to develop technology for converting tumor samples into'organoids' (3D tissue aggregates) so as to capture tumor complexity for further research; and to expand theexperimental lifetime of tumor samples. This technology will enable personalized medicine approaches tocancer research; through patient-specific experiments that will help to prioritize the treatments most likely tobe effective.,NCI,9795857,1-Aug-2019,RFA-CA-18-004,1R21CA240219-01,1,R21,CA,240219,1,,"SORG, BRIAN S",1-Aug-2019,31-Jul-2022,Special Emphasis Panel (ZCA1-TCRB-Q (M1)),,10414974,"ANDRES-MARTIN, LAURA ",Not Applicable,10,Unavailable,796026149,US,40.775301,-73.982267,10022801,NEW YORK STEM CELL FOUNDATION,NEW YORK,NY,Other Domestic Non-Profits,10019-3545,UNITED STATES,,1-Aug-2019,31-Jul-2020,394,Research Projects,2019,NCI,108750,87000,195750,
No NIH Category available.,Acceleration;Action Research;Affect;Aging;Agonist;American;Anatomy;Animals;Anterior;Area;arm;arm movement;base;Behavior;behavior test;Behavioral;Bilateral;Body Image;body position;Brain;Cells;Cerebellar vermis structure;Code;Cues;Darkness;Data;Deceleration;Discrimination;Elderly;Equilibrium;Excision;experimental study;falls;Financial compensation;Force of Gravity;Functional disorder;Generations;Gravitation;Gravity Perception;Head;Health;healthy aging;Human;Injury;kinematics;labyrinthectomy;Laws;Learning;Life;Light;Link;Macaca;Measures;Mediating;Modeling;Motion;Motor;motor control;motor learning;Movement;multisensory;Muscimol;Muscle;Nature;Navigation System;neural circuit;neural correlate;Neural Pathways;neuromechanism;neurotransmission;novel strategies;Organ;Pathway interactions;Pattern;Perception;Performance;performance tests;Planet Earth;Positioning Attribute;posture instability;Primates;Property;receptor;Recovery;recruit;relating to nervous system;Reporting;Robotics;Role;Sensory;sensory input;Signal Transduction;somatosensory;Space Flight;System;Technology;Testing;Thalamic structure;theories;Training;Vestibular Diseases;Visual;Work;,Using gravity to perceive; move and orient,PROJECT NARRATIVEFalls are the leading cause of fatal and non-fatal injuries for people over 65; as balance problems and posturalinstability affect tens of millions of Americans. Thus; understanding how the brain perceives the body?sorientation relative to gravity and how this perception is transformed into action is essential. The proposedexperiments will evaluate how the primate brain perceives orientation in gravity; how this information is used toplan movements; and how motor learning engages brain plasticity to promote recovery from vestibular injury.,NCCIH,9832688,14-Nov-2019,PA-18-545,5R01AT010459-02,5,R01,AT,10459,2,,"CHEN, WEN G",6-Dec-2018,30-Nov-2023,Sensorimotor Integration Study Section (SMI) ,,1863454,"ANGELAKI, DORA ",Not Applicable,12,NEUROSCIENCES,41968306,US,40.727354,-73.995266,5998301,NEW YORK UNIVERSITY,NEW YORK,NY,SCHOOLS OF ARTS AND SCIENCES,10012-2300,UNITED STATES,,1-Dec-2019,30-Nov-2020,213,Research Projects,2020,NCCIH,440596,257749,698345,
