Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost,FY Total Cost  (Sub Projects)
Magnetic Guidance for Improved Cochlear-Implant Insertion,NIDCD,9530617,5R01DC013168-05,5,R01,DC,13168,5,,,10196795,"ABBOTT, JAKE ",Not Applicable,UNIVERSITY OF UTAH,,2018,371716,
Personalized multimedication packaging with integrated real-time instrumentation to improve adherence,NCATS,9846816,1R43TR003071-01,1,R43,TR,3071,1,,,11315234,"ACWORTH, EDWARD ",Not Applicable,INSIGHTFIL,,2019,225000,
Optimizing Hand Rehabilitation Post-Stroke Using Interactive Virtual Environments,NICHD,9951071,5R01HD058301-08,5,R01,HD,58301,8,,,6880279,"ADAMOVICH, SERGEI V ","BARRETT, A. M.;MERIANS, ALMA S;TUNIK, EUGENE ",NEW JERSEY INSTITUTE OF TECHNOLOGY,,2020,689747,
High Throughput Screening of Agents in Bladder Cancer Cell Lines,NCI,10015073,1ZICBC011531-07,1,ZIC,CA,11531,7,,,9849385,"AGARWAL, PIYUSH ",Not Applicable,,,2019,96285,
Cardiothoracic Surgical Trials Network Linked Clinical Research Centers for Virginia and West Virginia,NHLBI,9899287,5UM1HL088925-13,5,UM1,HL,88925,13,,,9776548,"AILAWADI, GORAV  ","BADHWAR, VINAY ",UNIVERSITY OF VIRGINIA,,2020,591162,
Phenotypic variability within isogenic population of lymphocytes,NCI,10014789,1ZIABC011726-04,1,ZIA,CA,11726,4,,,15201697,"ALTAN-BONNET, GREGOIRE ",Not Applicable,,,2019,115681,
Cognitive neural prosthetics for clinical applications,NEI,9900009,5R01EY015545-15,5,R01,EY,15545,15,,,6252531,"ANDERSEN, RICHARD A",Not Applicable,CALIFORNIA INSTITUTE OF TECHNOLOGY,,2020,660093,
Dexterous BMIs for tetraplegic humans utilizing somatosensory cortex stimulation,NINDS,9548752,5U01NS098975-03,5,U01,NS,98975,3,,,6252531,"ANDERSEN, RICHARD A",Not Applicable,CALIFORNIA INSTITUTE OF TECHNOLOGY,,2018,651365,
Establishing efficient technologies for ovarian cancer organoid derivation from fresh tumor resections,NCI,9795857,1R21CA240219-01,1,R21,CA,240219,1,,,10414974,"ANDRES-MARTIN, LAURA ",Not Applicable,NEW YORK STEM CELL FOUNDATION,,2019,195750,
Using gravity to perceive; move and orient,NCCIH,9832688,5R01AT010459-02,5,R01,AT,10459,2,,,1863454,"ANGELAKI, DORA ",Not Applicable,NEW YORK UNIVERSITY,,2020,698345,
ARALDI; GIAN LUCA:1238759 [18-006556],NIDA,9915609,271201400011I-P00001-27100005-1,,N02,DA,,,,,15974954,"ARALDI, GIAN LUCA ",Not Applicable,,,2019,24300,
Image-Guided Workstation and Tools for Bone Defects,NIBIB,9998938,5R01EB016703-06,5,R01,EB,16703,6,,,7683871,"ARMAND, MEHRAN ",Not Applicable,JOHNS HOPKINS UNIVERSITY,,2020,405854,
Biomarkers Core (Core E),NIA,9934663,2P01AG036694-11,2,P01,AG,36694,11,,5483,1860155,"ARNOLD, STEVEN E",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL,,2020,,140001
Center for Undiagnosed Diseases at Stanford,NHGRI,9980967,5U01HG010218-03,5,U01,HG,10218,3,,,8334480,"ASHLEY, EUAN A ","BERNSTEIN, JONATHAN ;FISHER, PAUL GRAHAM;WHEELER, MATTHEW THOMAS",STANFORD UNIVERSITY,,2020,1100000,
