Year,Count
2020,4823
2019,7514
2018,6566
2017,6045
2016,5268
2015,4864
2014,4351
2013,3912
2012,3266
2011,3051
2010,2240
2009,2019
2008,1677
2007,1426
2006,1142
2005,985
2004,907
2003,707
2002,522
2001,485
2000,435
1999,318
1998,292
1997,231
1996,166
1995,133
1994,120
1993,103
1992,99
1991,92
1990,76
1989,59
1988,59
1987,48
1986,36
1985,34
1984,22
1983,15
1982,9
1981,7
1980,7
1979,5
1978,3
1977,1
1976,1
1975,2
1974,1
1973,2
1972,1
1970,3
1969,6
1968,4
1967,4
1966,3
1965,2
1962,1
1961,1
1960,1
1956,1
1953,1
1952,1
1951,1
