"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT02275104","Multimodal Image Processing Software to Guide Cardiac Ablation Therapy","MIGAT","Completed","No Results Available","Ventricular Arrhythmias|Persistent Atrial Fibrillation","Device: Contrast-enhanced ECG-gated multi-detector computed tomography|Device: Magnetic resonance imaging|Device: Positron emission tomography|Device: Body surface mapping|Procedure: Cardiac ablation procedure","To build MIGAT software|To test MIGAT for real-time guidance during cardiac ablation procedures.|To improve the compatibility of MIGAT with daily clinical use|Correlations between MIGAT predictions from non-invasive data, and ablation targets observed during invasive procedures","University Hospital, Bordeaux","All","18 Years and older   (Adult, Older Adult)",,"100","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","CHUBX 2013/35","September 1, 2014","July 21, 2016","July 21, 2016","October 27, 2014",,"February 17, 2017","Hôpital cardiologique du Haut-Lévêque, Pessac, France",,"https://ClinicalTrials.gov/show/NCT02275104"
2,"NCT03151512","UNDISTORT Correction of Distortions in Diffusion MRI V1.0","UNDISTORT","Unknown status","No Results Available","MR Image Distortion Correction|Prostate Cancer",,"Dice similarity score to assess distortions|Radiological scoring of image quality|Diffusion coefficient consistency","University College, London","All","18 Years to 120 Years   (Adult, Older Adult)",,"155","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","16/0128","March 29, 2017","January 2020","March 2020","May 12, 2017",,"May 12, 2017","University College London Hospital, London, United Kingdom",,"https://ClinicalTrials.gov/show/NCT03151512"
3,"NCT03790930","Deep-learning Based Classification of Spine CT","DETECT","Recruiting","No Results Available","Surgical Procedure, Unspecified","Diagnostic Test: deep learning","classification accuracy|segmentation accuracy","Shanghai 10th People's Hospital|Third Affiliated Hospital, Sun Yat-Sen University","All","18 Years to 65 Years   (Adult, Older Adult)",,"500","Other","Observational","Observational Model: Case-Only|Time Perspective: Retrospective","SHSY180624","February 22, 2019","May 2020","May 2020","January 2, 2019",,"May 12, 2020","Shanghai Tenth People's Hospital, Shanghai, Shanghai, China",,"https://ClinicalTrials.gov/show/NCT03790930"
4,"NCT03894254","Predictive Factors of Autonomy Loss in Real-life Cohort","MEM-AURA","Not yet recruiting","No Results Available","Memory Disorders","Other: no intervention","Functional autonomy level","Hospices Civils de Lyon","All","18 Years and older   (Adult, Older Adult)","Not Applicable","5250","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","69HCL18_0613","April 1, 2019","March 1, 2024","March 1, 2032","March 28, 2019",,"March 28, 2019",,,"https://ClinicalTrials.gov/show/NCT03894254"
5,"NCT02302482","Predictive Factors and Autonomy Level Change","MEMORA","Recruiting","No Results Available","Memory Impairment","Other: The Lawton Instrumental Activities of Daily Living score (IADL), and the disability assessment of dementia score (DAD-6","Functional autonomy level|Cognitive function level","Hospices Civils de Lyon","All","65 Years and older   (Older Adult)","Not Applicable","6780","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","2014.868","November 2014","November 2023","November 2023","November 27, 2014",,"May 23, 2017","Hôpital Dugoujon, Caluire-et-Cuire, France|Hospices Civils de Lyon - Hôpital des Charpennes, Lyon, France",,"https://ClinicalTrials.gov/show/NCT02302482"
6,"NCT04368481","MRI Incidental Finding Deep Learning Identification","MIDI","Recruiting","No Results Available","Neurological Disorder","Diagnostic Test: Deep Learning Algorithm","Sensitivity and specificity of a deep learning computer algorithm (termed a convolutional neural network) to recognise abnormalities on cranial MRI scans.|Sensitivity and specificity of a deep learning computer algorithm to broadly categorise abnormalities on cranial MRI scans.","King's College Hospital NHS Trust","All","18 Years and older   (Adult, Older Adult)",,"30000","Other","Observational","Observational Model: Other|Time Perspective: Other","KCH18-197","April 1, 2019","October 20, 2023","November 20, 2023","April 29, 2020",,"April 29, 2020","Guy's Hospital, London, United Kingdom|King's College Hospital, London, United Kingdom|St George's Hospital, London, United Kingdom|St Thomas' Hospital, London, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04368481"
7,"NCT04056650","Assessing the Effectiveness of an N-of-1 Platform Using Study of Cognitive Enhancers",,"Recruiting","No Results Available","Cognitive Performance","Drug: L-theanine|Dietary Supplement: Caffeine supplement|Device: N1 app","Percent of individuals who reach study completion|Percent of completed n-of-1 trials that yield statistically meaningful results.|Study adherence.","Icahn School of Medicine at Mount Sinai","All","18 Years and older   (Adult, Older Adult)","Phase 4","640","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Device Feasibility","GCO 18-0756","October 18, 2019","September 2, 2020","September 2, 2020","August 14, 2019",,"February 21, 2020","Icahn School of Medicine at Mount Sinai, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04056650"
8,"NCT03706664","Small Bowel Deep Learning Algorithm Project",,"Active, not recruiting","No Results Available","Crohn Disease","Other: Machine learning algorithm","Machine learning algorithm's ability to accurately localize the terminal ileum.|Data processing time until a diagnosis reported by algorithm.|Machine learning algorithm's ability to accurately distinguish abnormal and normal terminal ileum.","London North West Healthcare NHS Trust|Imperial College London","All","16 Years and older   (Child, Adult, Older Adult)","Not Applicable","226","Other","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","IRAS No:238924","March 1, 2019","November 2020","January 2021","October 16, 2018",,"February 27, 2020","St Mark's Hospital, London, Harrow, United Kingdom",,"https://ClinicalTrials.gov/show/NCT03706664"
9,"NCT02492971","Function-oriented Assistive Technology Indexing System Development and Promotion",,"Completed","No Results Available","Multiple Disability",,"user satisfaction (by using System Usability Scale)","Chang Gung Memorial Hospital","All","20 Years to 60 Years   (Adult)",,"175","Other","Observational","Observational Model: Other|Time Perspective: Cross-Sectional","kcheng","September 2016","November 2017","November 2017","July 9, 2015",,"January 25, 2018","Chang Gung Univ., Taoyuan, Taiwan",,"https://ClinicalTrials.gov/show/NCT02492971"
10,"NCT03222375","SQUED™ Series 28.1 Home-use and Treatment of Autowave Reverberator of Autism","SQUED™","Recruiting","No Results Available","Autistic Disorder|Autism Spectrum Disorder|Child Development Disorders, Pervasive|Neurodevelopmental Disorders|Mental Disorders|Asperger's Syndrome|Neurobehavioral Manifestations|Nervous System Diseases","Device: SQUED™ series 28.1 home-use","SQUED™ software of patient","American Federation of Medical Synergetics|Clinic of Synergetics, Department of Neurology/Neuropsychology WOMS|Institute of Medical Synergetics, Department of Cognitive Neurology WOMS|Laboratory of Neurocomputational Active Media WOMS|SQUED, Inc., USA|Center of Synergetics, Universität Stuttgart, Germany|Ivan Franko National University of Lviv, Ukraine|Danylo Halytsky Lviv National Medical University|World Organization of Medical Synergetics|World Autism Center, American Federation of Medical Synergetics","All","1 Month to 21 Years   (Child, Adult)",,"80","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","SQUED™ series 28.1 home-use","September 26, 2017","September 2022","December 2027","July 19, 2017",,"November 28, 2017","World Autism Center, American Federation of Medical Synergetics, Department of Neurology; Cognitive Neurology/Neuropsychology WOMS, Louisville, Kentucky, United States|Clinic of Synergetics, Department of Neurology; Cognitive Neurology/Neuropsychology of the World Organization of Medical Synergetics, Lviv, Solonka Village, Urozayna Street 41, Ukraine",,"https://ClinicalTrials.gov/show/NCT03222375"
11,"NCT03309787","Health Coaching & Technology in a Weight Loss Center",,"Completed","Has Results","Obesity|Technology|Videoconferencing|mHealth|Behavior, Health","Behavioral: eHealth","Completion Rate: Number of Participants Completing the Intervention|Acceptability|Change in Weight|Change in 6 Minute Walk|Diet Change|Subjective Health|Readiness to Change|Willingness to Pay","Dartmouth-Hitchcock Medical Center","All","18 Years to 65 Years   (Adult, Older Adult)",,"37","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","D17123","November 29, 2017","October 1, 2018","December 1, 2019","October 16, 2017","July 8, 2020","July 8, 2020","Dartmouth-Hitchcock, Lebanon, New Hampshire, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/87/NCT03309787/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT03309787"
12,"NCT02781714","Evaluation of an mHealth SMS Dialogue Strategy to Meet Women's and Couples' Postpartum Contraceptive Needs in Kenya","Mobile WACh XY","Completed","No Results Available","Contraception|Postpartum Period","Behavioral: Two-way SMS","Highly-effective contraceptive use|Time to contraceptive use|Dual contraceptive use|Any contraceptive use|Family planning satisfaction questionnaire|Exclusive breastfeeding questionnaire","University of Washington|Kenyatta National Hospital|University of Nairobi","Female","14 Years to 50 Years   (Child, Adult)","Not Applicable","260","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other","51125","July 2016","September 2017","September 2017","May 24, 2016",,"May 3, 2018","Ahero sub-County Hospital, Ahero, Kisumu County, Kenya|Bondo County Hospital, Bondo, Siaya County, Kenya",,"https://ClinicalTrials.gov/show/NCT02781714"
13,"NCT03109366","Electronic Tool for Interaction Between Patients and Health Professionals",,"Completed","No Results Available","Chronic Illness","Behavioral: Online patient-provider communication service","Patterns of intervention use","Oslo University Hospital|University of Oslo|University Hospital of North Norway|Balsfjord Municipality|Marshfield Clinic Research Foundation|Columbia University|Norwegian Centre for Integrated Care and Telemedicine","All","18 Years and older   (Adult, Older Adult)","Not Applicable","20","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","201512/S10","May 2011","October 2015","October 2015","April 12, 2017",,"April 12, 2017","Oslo University Hospital, Rikshospitalet,, Oslo, Norway",,"https://ClinicalTrials.gov/show/NCT03109366"
14,"NCT00154947","Develop Biomarkers for Assessing RA Joint Erosion",,"Unknown status","No Results Available","Rheumatoid Arthritis",,,"National Taiwan University Hospital|Palo Alto Medical Foundation","All","18 Years to 65 Years   (Adult, Older Adult)",,"60","Other","Observational","Observational Model: Case Control|Primary Purpose: Screening|Time Perspective: Longitudinal|Time Perspective: Prospective","9361700330","May 2004",,"May 2006","September 12, 2005",,"July 20, 2006","Liang-In Lin, Taipei, Taiwan",,"https://ClinicalTrials.gov/show/NCT00154947"
15,"NCT02175823","Health Status Evaluation for Cancer Survivors by Non-intrusive Sensing System",,"Unknown status","No Results Available","Cancer",,"Quality of Life","National Taiwan University Hospital","All","65 Years and older   (Older Adult)",,"40","Other","Observational","Observational Model: Ecologic or Community|Time Perspective: Prospective","201401056RIND","July 2014","July 2015","July 2015","June 26, 2014",,"July 8, 2014","National Taiwan University Hospital, Taipei, Da'an Dist, Taiwan",,"https://ClinicalTrials.gov/show/NCT02175823"
16,"NCT00138073","Effectiveness of a Computer Application in Improving Pulmonary Artery Catheter Waveform Interpretation",,"Terminated","Has Results","Pulmonary Artery Catheter Waveform Interpretation","Device: Web-based waveform interpretation guide","Score on a Computer-based Test on Pulmonary Artery Catheter Waveform Interpretation|Individual and Collective Frequency of Use and Usage Patterns of the Web-based Waveform Interpretation Guide","Massachusetts General Hospital","All","Child, Adult, Older Adult","Not Applicable","55","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)","2005-P-001381/1; MGH","December 2005","April 2012","April 2012","August 30, 2005","June 30, 2014","June 30, 2014","Massachusetts General Hospital, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT00138073"
17,"NCT01232686","Snow Disease Surveillance System Study","Snow","Completed","No Results Available","Communicable Diseases","Other: Online disease surveillance data access","Earlier diagnosis and treatment for communicable diseases|Earlier detection of local disease outbreaks|Lower number of infected during disease outbreaks|Impact on health service costs","University Hospital of North Norway|University of Tromso|The Royal Norwegian Ministry of Health|Norwegian Health Network (state owned enterprise)","All","Child, Adult, Older Adult","Not Applicable","200","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","ID 3746/ HST954-10","October 2010","December 2012","December 2012","November 2, 2010",,"February 16, 2017",,,"https://ClinicalTrials.gov/show/NCT01232686"
18,"NCT01786044","The Impact of a ""Serious Game"" on Improving Patient's Medication Knowledge",,"Completed","No Results Available","Health Knowledge, Attitudes, Practice","Behavioral: MasterMed|Behavioral: Usual Care","medication knowledge|medication adherence","Massachusetts General Hospital","All","18 Years and older   (Adult, Older Adult)","Not Applicable","850","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Supportive Care","MGH 2012-P-002093/1|PCHI MGH 2012-P-002093/1","March 2014","June 2015","June 2015","February 7, 2013",,"March 22, 2017","Massachusetts General Hospital, Internal Medicine Associates, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT01786044"
19,"NCT03120741","Dementia Patient's Behavior Evaluation Using Noninvasive Ambient Sensor",,"Unknown status","No Results Available","Mild Cognitive Impairment, Dementia",,"The relationship between moving pattern change and dementia.|The relationship between daily routine change and dementia.|The relationship between sleeping time change and dementia.","National Taiwan University Hospital","All","65 Years to 100 Years   (Older Adult)",,"35","Other","Observational","Observational Model: Case-Control|Time Perspective: Other","201608004RINB","May 2017","August 2018","August 2018","April 19, 2017",,"April 19, 2017","National Taiwan University Hospital, Taipei, Taiwan",,"https://ClinicalTrials.gov/show/NCT03120741"
20,"NCT03306082","Image-guided Cochlear Implant Programming (IGCIP)",,"Enrolling by invitation","No Results Available","Cochlear Implant","Other: Image-Guided Cochlear Implant Programming","AzBio Sentence Scores at +5 Signal to Noise Ratio (SNR)|Minimum Speech Test Battery","Vanderbilt University Medical Center|National Institute on Deafness and Other Communication Disorders (NIDCD)","All","18 Years to 90 Years   (Adult, Older Adult)","Not Applicable","150","Other|NIH","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","150417|R01DC014037","June 23, 2015","May 2021","May 2022","October 10, 2017",,"January 22, 2020","Vanderbilt University Medical Center, Nashville, Tennessee, United States",,"https://ClinicalTrials.gov/show/NCT03306082"
