"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT04398212","Computer Vision Syndrome Visual Sequelae",,"Recruiting","No Results Available","Computer Vision Syndrome","Diagnostic Test: mfERG (multifocal-retinogram)","visual acuity|near vision","Sohag University","All","Child, Adult, Older Adult","Not Applicable","700","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Investigator)|Primary Purpose: Diagnostic","5-10/4/2018","May 21, 2020","August 2020","October 2020","May 21, 2020",,"May 27, 2020","Faculty of medicine, Sohag, Egypt",,"https://ClinicalTrials.gov/show/NCT04398212"
2,"NCT04405648","Computer Vision Syndrome Prevalence Among University Students",,"Recruiting","No Results Available","Computer Vision Syndrome","Behavioral: CVS GROUP","Prevalence of CVS|Visual acuity|Refraction|Schirmer test|Tear Break Up Time (TBUT)","Sohag University","All","Child, Adult, Older Adult",,"650","Other","Observational","Observational Model: Case-Control|Time Perspective: Cross-Sectional","4-8/1/2018","May 28, 2020","July 2020","August 2020","May 28, 2020",,"June 1, 2020","Faculty of medicine, Sohag, Egypt|Sohag Faculty of Medicine, Sohag, Egypt",,"https://ClinicalTrials.gov/show/NCT04405648"
3,"NCT00920231","Computer Vision System for the Blind Veteran",,"Completed","Has Results","Blindness","Device: initial system|Device: modified system","Frequency of Device Failures Per Attempt to Complete a Navigation Course|Ability to Meet the Subjective Travel Needs of the Blind Subject","VA Office of Research and Development","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 1","16","U.S. Fed","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","C6731-R","November 2011","December 2013","September 2015","June 15, 2009","April 2, 2015","January 22, 2016","Atlanta VA Medical and Rehab Center, Decatur, Decatur, Georgia, United States|Baltimore VA Medical Center VA Maryland Health Care System, Baltimore, MD, Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT00920231"
4,"NCT03831919","Trial of Hoya SYNC III Design Lenses","SYNCIII","Recruiting","No Results Available","Computer Vision Syndrome","Device: SYNC III|Device: single vision lenses","Change in CVS-Q|Change in heterophoria|Change in aligning prism|Change in near point of convergence|Change in amplitude of accommodation|Change in accommodative lag|Change in accommodative facility|Fusional reserves|Stereopsis","The Institute of Optometry, London","All","18 Years to 40 Years   (Adult)","Phase 2|Phase 3","30","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","SYNCIII","January 7, 2019","July 31, 2019","July 31, 2019","February 6, 2019",,"February 6, 2019","Institute of Optometry, London, United Kingdom",,"https://ClinicalTrials.gov/show/NCT03831919"
5,"NCT04102631","A Multicenter Study Evaluating the Effectiveness of Endo.Angel in Improving the Quality of Colonoscopy",,"Recruiting","No Results Available","Adenoma Detection Rate","Diagnostic Test: colonoscopy with assistance of Endo.Angel|Diagnostic Test: colonoscopy without assistance of Endo.Angel","Adenoma detection rate|The mean number of polyps per procedure|Polyp Detection Rate|The mean number of adenomas per procedure|Detection rate of large, small and minimal polyps|The mean number of large, small and minimal polyps per procedure|Detection rate of large, small and minimal adenomas|The mean number of large, small and minimal adenomas per procedure|Detection rate of adenoma in different sites|The mean number of adenomas in different sites per procedure|Time of colonoscopic withdrawal|Time of colonoscopic insertion|The rate of reaching the ileocecal region","Renmin Hospital of Wuhan University","All","18 Years and older   (Adult, Older Adult)","Not Applicable","1076","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Diagnostic","EA-18-002","August 30, 2019","November 30, 2019","December 31, 2019","September 25, 2019",,"September 25, 2019","Renmin Hospital of Wuhan University, Wuhan, Hubei, China",,"https://ClinicalTrials.gov/show/NCT04102631"
6,"NCT03781583","SmartHMD for Improved Mobility",,"Recruiting","No Results Available","Low Vision|Orientation|Mobility Limitation|Navigation, Spatial|Visual Impairment","Device: No HMD used|Device: HMD worn but not active|Device: HMD worn and active","Mobility accuracy: Percentage Correct Alignment|Mobility accuracy: Veering|Mobility accuracy: Percentage Cue Usage|Detection of Signal|Time-to-Complete","James Weiland|University of Michigan","All","14 Years to 89 Years   (Child, Adult, Older Adult)","Not Applicable","30","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other","HUM00141598","April 26, 2019","March 31, 2021","March 31, 2022","December 20, 2018",,"January 23, 2020","North Campus Research Complex, Ann Arbor, Michigan, United States",,"https://ClinicalTrials.gov/show/NCT03781583"
7,"NCT00338611","Convergence Insufficiency Treatment Trial (CITT)",,"Unknown status","No Results Available","Convergence Insufficiency|Binocular Vision Disorder","Behavioral: Home-based Pencil Push-Up Therapy|Behavioral: Home-based Pencil Push-ups with Computer Vision Therapy/Orthoptics|Behavioral: Office-based Vision Therapy/Orthoptics|Behavioral: Placebo Office-based Vision Therapy/Orthoptics","Measure of symptoms using a 15-item Convergence Insufficiency Symptom Survey|Eyes' ability to converge when performing close work","National Eye Institute (NEI)","All","9 Years to 18 Years   (Child, Adult)","Phase 3","221","NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","NEI-107","July 2005","September 2008","September 2009","June 20, 2006",,"March 25, 2010","University of Alabama at Birmingham School of Optometry, Birmingham, Alabama, United States|Southern California College of Optometry, Fullerton, California, United States|Ratner Children's Eye Center, La Jolla, California, United States|NOVA Southeastern University College of Optometry, Ft. Lauderdale, Florida, United States|Bascom Palmer Eye Institute, Miami, Florida, United States|Mayo Clinic, Rochester, Minnesota, United States|State University of New York College of Optometry, New York, New York, United States|The Ohio State University College of Optometry, Columbus, Ohio, United States|Pennsylvania College of Optometry, Philadelphia, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT00338611"
8,"NCT03705182","Prevention of Dermatitis in Epoxy Exposed Workers",,"Recruiting","No Results Available","Contact Dermatitis|Sensitization Dermatitis","Device: Fluorescence visualization (feedback)","Change in sensitization|Change in prevalence of dermatitis|Change in fluorescence levels|Change in number of fluorescence recordings","Aarhus University Hospital|Arbejdsmiljøforskningsfonden|Vestas Wind Power|Siemens Gamesa Renewable Energy|Skane University Hospital|Herning Hospital|National Research Centre for the Working Environment, Denmark|Aalborg University Hospital|University of Aarhus","All","18 Years and older   (Adult, Older Adult)","Not Applicable","450","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","Epoxy Vision","December 1, 2018","December 30, 2020","December 30, 2020","October 15, 2018",,"April 25, 2019","Department of Occupational medicine, Aarhus University Hospital, Aarhus, Denmark",,"https://ClinicalTrials.gov/show/NCT03705182"
9,"NCT04135716","A Multicenter Study Evaluating the Effectiveness of Endo.Angel in Improving the Quality of Colonoscopy",,"Not yet recruiting","No Results Available","Adenoma","Diagnostic Test: Colonoscopy with assistance of Endo.Angel|Diagnostic Test: Colonoscopy without assistance of Endo.Angel","Adenoma detection rate|The mean number of polyps per procedure|Polyp Detection Rate|The mean number of adenomas per procedure|Detection rate of large, small and minimal polyps|The mean number of large, small and minimal polyps per procedure|Detection rate of large, small and minimal adenomas","Renmin Hospital of Wuhan University","All","18 Years and older   (Adult, Older Adult)","Not Applicable","1076","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Screening","EA-18-003","November 28, 2019","March 1, 2020","July 1, 2020","October 23, 2019",,"October 23, 2019","Renmin Hospital of Wuhan University, Wuhan, Hubei, China",,"https://ClinicalTrials.gov/show/NCT04135716"
10,"NCT04319055","AI-Assisted Facial Surgical Planning",,"Completed","No Results Available","Facial Plastic and Reconstructive Surgery|Periocular Diseases|Orbital Diseases|Artificial Intelligence",,"The model performance is evaluated by accuracy|AUC (Area Under the Curve)|ROC (Receiver Operating Characteristics) curve.|An Artificial Intelligence Approach to Identifying Facial, Periocular, and Orbital Diseases","National Taiwan University Hospital|Stanford University","All","20 Years to 65 Years   (Adult, Older Adult)",,"17932","Other","Observational","Observational Model: Case-Only|Time Perspective: Retrospective","201908066RIND","January 1, 2009","December 31, 2018","July 30, 2019","March 24, 2020",,"March 24, 2020","National Taiwan University Hospital, Taipei, Taiwan",,"https://ClinicalTrials.gov/show/NCT04319055"
