Year,Count
2020,754
2019,1319
2018,1115
2017,1001
2016,914
2015,831
2014,663
2013,534
2012,544
2011,455
2010,396
2009,422
2008,403
2007,376
2006,346
2005,324
2004,289
2003,199
2002,177
2001,155
2000,157
1999,180
1998,174
1997,158
1996,138
1995,153
1994,123
1993,99
1992,99
1991,95
1990,74
1989,67
1988,54
1987,53
1986,31
1985,31
1984,30
1983,21
1982,18
1981,25
1980,15
1979,7
1978,8
1977,8
1976,5
1975,5
1974,1
1973,1
1972,4
1971,6
1970,7
1969,5
1968,1
1967,2
1966,1
1965,3
1964,4
1963,2
