Question,Votes,Views,Date
MNIST classifier fails on non-MNIST digits,0,45,2020-06-12
FID Score for Mnist Digits Crash in 25Gb RAM Google Colab,2,13,2020-06-11
<class 'SystemError'> ..\Objects\listobject.c:189: bad argument to internal function,-2,12,2020-06-10
Learning position of digit with conv net [closed],0,13,2020-06-08
Why obs are labels in the model of a classification task in the Bayesian Neural Network using Pyro?,0,11,2020-06-07
How to understand the output of a neural network? [closed],-2,17,2020-06-05
What is the difference between 'DatasetV1Adapter' and 'BatchDataset' in TensorFlow 2?,1,12,2020-06-05
Are there any source than I can use to detect handwritten digit on webcam?,0,21,2020-06-04
Why I can't load mnist dataset with load_data() method?,0,24,2020-06-04
Cost Function not converging CNN,-1,13,2020-06-03
How can i put my own data in test_data section of MNIST dataset in neural network,0,8,2020-06-02
"ValueError: Dimension 1 in both shapes must be equal, but are 10 and 1",-1,26,2020-06-02
How to load my own dataset to make a DCGAN in tensorflow?,0,15,2020-06-02
Keras hierarchical classification,0,10,2020-06-01
How to use MNIST via running python code in virtual machine?,0,9,2020-06-01
MNIST GAN generator loss increasing,0,29,2020-05-30
Significantly higher testing accuracy on mnist with keras than tensorflow.keras,6,62,2020-05-26
Why the accuracy of TF-lite is not correct after quantization,3,56,2020-05-26
visualize 10x10 grid of each digit using MNIST samples,0,28,2020-05-22
Using trained model (on 1 label images) to predict captcha-styled images (multiple labels per image),0,16,2020-05-22
Subsetting Handwritten Digits for Visualization (MNIST),-1,28,2020-05-21
Why are alphabets less accurate in mnist data?(neural network),0,21,2020-05-21
Tensorflow Keras Shape mismatch,2,25,2020-05-21
Data Handling for MNIST data set using C++,-1,14,2020-05-19
How to extract a digit from an image with numbered grid opencv,0,29,2020-05-19
FileNotFoundError: [Error2] No such file or directory: 'mnist/train-image-idx3-ubyte',-1,23,2020-05-19
Cannot get output of OpenCV image segmentation into a numpy array similar to the data in the MNIST data,0,14,2020-05-17
"NameError: name 'transforms' is not defined, while using google colab",-2,88,2020-05-17
Classes Issue in EMNIST Dataset,2,27,2020-05-16
"How to replace the softmax layer with sigmoid layer? (Theano, MNIST classification)",-1,27,2020-05-16
Just loaded tfds dataset but throwing unable to unpack error,0,12,2020-05-16
ValueError: unpack: when trying to split fashion_mnist into 3 splits,0,23,2020-05-16
how to solve the IndexError: too many indices for array in python?,0,30,2020-05-14
How to convert .jpg to npz like moving mnist,0,9,2020-05-13
torchvision mnist RemoteDisconnected: Remote end closed connection without response,0,17,2020-05-11
MNIST dataset boosting,0,15,2020-05-09
"showing mnist digits using python, numpy and matplot",1,54,2020-05-07
"TF1 code does not work with TF2, could someone convert this TF1 code",0,49,2020-05-06
tensorflow: applying calculated weights on a single mnist image,0,38,2020-05-05
"Is it possible to train a lossless autoencoder for small images (MNIST, CIFAR) by overfitting?",0,12,2020-05-05
Pytorch | I don't know why it is throwing an error? (Beginner),0,20,2020-05-04
What is x_train.reshape() and What it Does?,-3,49,2020-05-02
"If image has (28,28,3) shape, how do i convert it to (28.28,1)?",0,67,2020-05-01
How to select a desired training sample from mnist.load_data(),0,42,2020-05-01
Low accuracy when training MNIST data on a custom neural network,0,51,2020-04-29
Interpreting training loss/accuracy vs validation loss/accuracy,2,33,2020-04-25
how should I fix input size in keras model,0,12,2020-04-24
Finding and resizing pixel data from segmented images using skimage,1,30,2020-04-21
How to append numpy ndarray (images) to get similar dataset like mnist,0,25,2020-04-17
Improving MNIST classification using PSO trained Neural network,0,24,2020-04-15
Is it possible to use vector methods to shift images stored in a numpy ndarray for data augmentation?,1,45,2020-04-12
How to sum up and interpret epoch loss while using binary crossentropy?,0,28,2020-04-10
Backpropagation example,1,59,2020-04-09
batch structure in tensorflow,0,20,2020-04-09
Extended MNIST with Addition (+) Operator and XY Letters,0,25,2020-04-07
How to use own image to predict handwritten digits using MNIST Dataset and neural netwrok,0,51,2020-04-06
"Why the eminst data is converted from (28*28) to [-1, 784] instead of [0,784] in image classification problem?",-1,36,2020-04-04
Split data into batches,0,39,2020-04-03
Error when loading mnist and other datasets in R using tensorflow and keras package,0,43,2020-04-02
CNN has ValueError: Error when checking target,0,18,2020-03-31
Is there any way to convert the screen of a pygame gui into an image somehow?,1,24,2020-03-27
error: OpenCV(4.1.2) (-215:Assertion failed) image.channels() == 1 || image.channels() == 3 || image.channels() == 4 in function 'cv::imwrite_' [duplicate],-3,69,2020-03-25
Confusion in MNIST dataset visualization using Matplotlib,0,10,2020-03-24
"Error when checking input: expected flatten_1_input to have 3 dimensions, but got array with shape (28, 28)",1,49,2020-03-20
How do I fix in alexNet invalid index of a 0-dim tensor. Use tensor.item() to convert a 0-dim tensor to a Python number,0,27,2020-03-18
CNN to solve MNIST shows no learning in Pytorch,0,38,2020-03-18
4-layer perceptron neural network classifying the MNIST digit dataset not working correctly,0,41,2020-03-17
Why did my factor levels get reversed in logistic regression? (MNIST data),1,36,2020-03-14
Tensorflow Keras Dataset Filepath within PyCharm,0,37,2020-03-13
How to make your own data in mnist,0,12,2020-03-12
Why does normalizing MNIST images reduce accuracy?,0,41,2020-03-10
my tensorflow model gets stuck before the first epoch,0,142,2020-03-10
Unable to open file mnist.h5,0,74,2020-03-08
Exception has occurred: KeyError (numpy list),0,72,2020-03-07
How to implement GRNN Algorithm with MNIST Dataset (Python),0,51,2020-03-05
Problem during preprocessing of data in Tensorflow,0,29,2020-03-04
Data-augmentation giving me worse results,0,57,2020-03-03
Predicting Different Classes by the Size of Test data,0,26,2020-03-02
Do I have to redownload MNIST with fetch_openml every time I run my Jupyter Notebook?,0,42,2020-03-01
MNIST Tensorflow - ValueError: Input arrays should have the same number of samples as target arrays,0,41,2020-02-29
tensorflow-ValueError: Only call `sparse_softmax_cross_entropy_with_logits`,0,38,2020-02-27
How to freeze Encoder weight exctracted from CNN AutoEncoder and add few trainable fully connected layers?,0,27,2020-02-25
"XGBoost python: Bad input shape, features name mismatch error",0,29,2020-02-25
EM algorithm python on MNIST image data,0,212,2020-02-25
"CNN for MNIST with efficient sliding windows, to detect in realtime",1,80,2020-02-24
"probleme with CNN, MNIST",0,33,2020-02-24
dataset not 'callable' in a for loop,0,22,2020-02-20
explaination for what tensorflow.keras.dataset.minst.load_data() returns,2,44,2020-02-20
Load custom dataset like Mnist ( Tensorflow Python ),0,79,2020-02-19
"Same data split into training, dev and test set",0,49,2020-02-18
ERROR:root:Internal Python error in the inspect module. Below is the traceback from this internal error,0,284,2020-02-16
"Using tf.estimator for custom inference, following approach of Overfeat",0,17,2020-02-14
Calculate the covariance matrix with numpy,0,29,2020-02-14
Predicting own image with pretrained weights and biases doesn't work correctly,1,38,2020-02-10
Selecting a specific element from a list dataset,0,20,2020-02-10
Use custom dataset instead of MNIST for GAN,1,85,2020-02-10
python MNIST dataset “no attribute train_images”,0,270,2020-02-06
Where can I download a Python3 pickled version mnist.pkl of the MNIST dataset?,0,24,2020-02-05
pytorch train function Varibles and Tensors (read my introduction i dont know my problem as well it just dont work ),-1,29,2020-02-02
Neural network does poorly on larger training sets MNIST,0,17,2020-02-01
"Using MNIST to load a dataset but getting file not found error, Windows 10, Python 3",0,135,2020-02-01
Why do i have to convert “uint8” into “float32”,1,106,2020-01-30
