Question,Votes,Views,Date
Augmented reality: how to recognize game field printed on paper?,0,6,2020-06-13
Principal Component Analysis (PCA) on a set of images [closed],-1,14,2020-06-13
Upgrade YOLOv3 to YOLOv4,-1,10,2020-06-13
Why does my neuronal network make such inaccurate predictions after training?,3,35,2020-06-13
"Face Recognition project, how to draw a rectangle on face and write the person name [closed]",-1,20,2020-06-13
"After a GAN is trained, which parts of it are used to generate new outputs from data?",-2,15,2020-06-12
Why CSV only write last data with floating data?,1,15,2020-06-12
How do I get camera pose using VisualSfM?,0,11,2020-06-12
Calculate depth of pixels,0,16,2020-06-12
Solar Tracking using Computer Vision,-1,10,2020-06-12
How to combine lots of tiny polygons into one polygon shape,-1,13,2020-06-12
"Krish mask apply on an image, python OpenCv [closed]",0,13,2020-06-12
Test : How to enhance quality in image for OCR purpose,0,24,2020-06-12
3D Localization of Detected Object if 3D Map of Environment is available using Ray Tracing,0,8,2020-06-12
Not able to reproduce the statement that spectral power of natural images falls with frequency as 1/f**2,1,30,2020-06-12
TypeError: __call__() takes 2 positional arguments but 3 were given. To train Raccoon prediction model using FastRCNN through Transfer Learning,0,11,2020-06-12
U-Net with Pre-Trained ResNet throws dimension error must match,0,25,2020-06-12
OCR for getting text from images,-2,15,2020-06-12
Boolean index did not match indexed array along dimension 0; dimension is 256 but corresponding boolean dimension is 1600. (OpenCV Masking),0,20,2020-06-12
Firebase vision Face detection get tight fit estimation of the face using heuristics (MLKit),0,11,2020-06-12
how to install openpose in windows for python project?,0,13,2020-06-12
How to get XYZ Coordinates of a Controller with IR Markers Using Non-Stationary Camera [closed],-1,22,2020-06-12
Need help in creating Shadow for an transparent object using python like having a light source at the top,0,61,2020-06-11
Calculate Metrics in Keras model Deep Learning,0,20,2020-06-11
Get 3D world coordinates from 2D image coordinates,0,30,2020-06-11
Load svg image in opencv,0,36,2020-06-11
how to change Lab color space to RGB 0-255,3,30,2020-06-11
How to transform from interal of p(z)dz to interal of p_g(x)dx in GANs [migrated],-1,12,2020-06-11
How to improve marker detection on mobile browser with AR.js,0,14,2020-06-11
Can anyone explain about the “non-sliding window” statement in Feature Pyramid Networks for Object Detection paper?,0,33,2020-06-11
Python: selecting a section of an image,-2,22,2020-06-11
Pytorch Dataloader not spliting data into batch,-1,17,2020-06-11
Python: Extracting text from a image,-1,27,2020-06-11
How to visualize images and bounding boxes? [closed],0,10,2020-06-11
How to Hololens 2 SpatialAwareness,-1,28,2020-06-11
Training accuracy is increasing but Validation accuracy is fluctuating?,-1,9,2020-06-11
Preserve features of resized segmented handwritten digits,0,13,2020-06-10
how to get really precise background removal?,0,28,2020-06-10
How to get angle of a curve using python,0,21,2020-06-10
predict angle of object in image using cnn,0,12,2020-06-10
Challenge : How to get the 4-sided polygon with minimum area,-1,76,2020-06-10
Cuda always get out of memory when training data with colabs,0,23,2020-06-10
Selecting the Data Matrix from a Image and Decoding it,1,32,2020-06-10
Corner detection algorithm gives very high value for slanted edges?,2,54,2020-06-10
SRGAN model is not learning,0,15,2020-06-10
Keras: Plot Image augmentations samples for training data using flow_from_directory,1,18,2020-06-10
Warping a license plate image to be frontal-parallel,1,52,2020-06-10
How to solve an image processing problem in Computer Vision,-1,31,2020-06-10
how do you get the image shape when you do the tensor slice?,0,10,2020-06-10
How to avoid too many ops from a loop in tensorflow?,0,14,2020-06-09
how to find the rotation matrix from svd?,-1,23,2020-06-09
How to extract Region of Interest (ROI) from unstructured documents to do OCR?,-1,9,2020-06-09
How to automate the annotation process involved in building a CNN? [closed],0,8,2020-06-09
Sample videos for computer vision application with camera parameters [closed],-1,13,2020-06-09
I can't explain the correlation between image quality and image storage size,0,20,2020-06-09
'str' object has no attribute 'copy' error when creating an image resizing function,0,22,2020-06-09
Reduce Image resolution without resizing,1,66,2020-06-09
How to train a model to identify a specific object from images?,0,25,2020-06-09
Output layer in image classification,-1,28,2020-06-09
what is the size of patch in pmvs?,0,26,2020-06-09
"cv2.approxPolyDP() , cv2.arcLength() How these works",0,31,2020-06-09
How to plot a chart with matplotlib library in python? [closed],-3,30,2020-06-09
Is there a way to save multiple images to an array in python for later use?,0,27,2020-06-08
Anomaly detection for contaminated dataset with high interclass variation,1,25,2020-06-08
Split train and test data for image classification CNN,-1,11,2020-06-08
Which algorithms are there for removing gray stamps that overlap with text?,0,31,2020-06-08
"opencv function '.read' , 'videoCaputre' problem",1,26,2020-06-08
Replacing nn.Upsample with alternative upsample operation,0,17,2020-06-08
"When deep learning trains neural networks, the accuracy has always been 1 in the end. What is the reason for such a high?",0,30,2020-06-08
What is meant by regressing convolutional features to a quaternion representation of Rotation?,0,24,2020-06-08
"Dlib ImportError in Windows 10 on line _dlib_pybind11 import *, DLL Load Failed",0,19,2020-06-08
Fitting a bounding ellipse around multiple contours CV2,1,25,2020-06-08
"How to combine two image masks got through np.zeros(src_img.shape[:2], np.uint8) and np.zeros(differentimage.shape[:2], np.uint8)?",0,19,2020-06-08
"After pressing tab on a website, how to get the html focused element's background and the border color?",0,16,2020-06-08
clustering pixels to create a solid shape,0,31,2020-06-08
Model accuracy fluctuates after a certain point,0,11,2020-06-08
Computing saliency maps in Tensorflow using PAIR-code implementation?,0,10,2020-06-07
3D convolutional models with the Coral Edge TPU?,2,18,2020-06-07
Passing variable to nn.Conv2d arguments within a class init definition python,1,20,2020-06-07
Pytorch Faster R-CNN size mismatch errors in testing,0,17,2020-06-07
How to give data in chunks to mask-RCNN for traning?,0,11,2020-06-07
how extract vertical images in panel with multi image oriented with MATLAB,-2,7,2020-06-07
Python implementation of Phase Correlation and SVD for image co-registration,0,15,2020-06-07
how to plot a 2d image in 3d plot for calculating depth of object as z axis?,0,31,2020-06-07
How to align two sets of points (translation+rotation) when those sets contain noise?,1,43,2020-06-06
TensorFlow object detection API “cannot import name”,0,9,2020-06-06
connect YOLO with vgg classifier,0,14,2020-06-06
How to change the colors value to be the same or very close to each other for different images of the same thing?,0,36,2020-06-06
(-215:Assertion failed) !_img.empty() in function 'imwrite',-2,17,2020-06-06
cv2.CascadeClassifier resizing image before prediction fails,0,18,2020-06-05
How to compute pixel coordinates of an image based on a reference image,0,35,2020-06-05
"Is there any difference of the implementations of JPEG compression among MATLAB, PIL and OpenCV?",1,9,2020-06-05
How do I save output images using Jupyter notebook?,0,37,2020-06-05
Cutout vs random erasing data augmentation,-2,15,2020-06-05
Put several outputs into one list,0,22,2020-06-05
ffmpeg: error while loading shared libraries: libopenh264.so.5,-1,87,2020-06-05
Can I use the infrared camera present on my computer with OpenCV?,-2,20,2020-06-05
